Time,Modbus1.Q_level_1,Modbus1.Q_level_2,Modbus1.Q_level_3,Modbus1.Voltage_diff_1,Modbus1.Voltage_diff_2,Modbus1.Voltage_diff_3,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0245,285657.75,345094.34,473950.34,-2267.052,-2157.6255,-2427.6848,347.18152,352.434,339.47113
0.025,277998.9,335089.84,463684.47,-2267.052,-2157.6255,-2427.6848,347.18152,352.434,339.47113
0.0255,265699.16,319403.0,448131.62,-2267.052,-2157.6255,-2427.6848,347.18152,352.434,339.47113
0.026,257163.67,308685.5,437802.53,-2267.052,-2157.6255,-2427.6848,347.18152,352.434,339.47113
0.0265,244209.53,292594.1,422605.66,-2267.052,-2157.6255,-2427.6848,347.18152,352.434,339.47113
0.027,235654.9,282069.88,412794.75,-2267.052,-2157.6255,-2427.6848,347.18152,352.434,339.47113
0.0275,223256.61,266928.53,398731.53,-2267.052,-2157.6255,-2427.6848,347.18152,352.434,339.47113
0.028,215446.84,257456.94,389869.12,-2267.052,-2157.6255,-2427.6848,347.18152,352.434,339.47113
0.0285,204676.17,244452.17,377441.3,-2267.052,-2157.6255,-2427.6848,347.18152,352.434,339.47113
0.029,198249.83,236708.34,369769.53,-2267.052,-2157.6255,-2427.6848,347.18152,352.434,339.47113
0.0295,189912.9,226636.23,359218.94,-2267.052,-2157.6255,-2427.6848,347.18152,352.434,339.47113
0.03,185284.12,221002.9,352827.66,-2267.052,-4335.4424,-2427.6848,347.18152,247.89877,339.47113
0.0305,179773.47,214169.14,344181.84,-2267.052,-4335.4424,-2427.6848,347.18152,247.89877,339.47113
0.031,177047.97,210640.73,339014.72,-2267.052,-4335.4424,-2427.6848,347.18152,247.89877,339.47113
0.0315,174320.78,206782.2,332070.9,-2267.052,-4335.4424,-2427.6848,347.18152,247.89877,339.47113
0.032,173338.6,205059.16,327913.3,-2267.052,-4335.4424,-2427.6848,347.18152,247.89877,339.47113
0.0325,172978.73,203547.48,322246.16,-2267.052,-4335.4424,-2427.6848,347.18152,247.89877,339.47113
0.033,173380.28,203139.55,318756.88,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.0335,174745.52,203189.1,313791.56,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.034,176035.64,203514.61,310558.3,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.0345,178313.75,204191.06,305656.56,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.035,179931.47,204637.84,302268.5,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.0355,182289.7,205111.27,296883.66,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.036,183694.53,205175.58,293035.88,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.0365,185365.17,204739.23,286813.03,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.037,186096.84,204025.42,282344.03,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.0375,186488.56,202213.84,275156.38,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.038,186224.39,200472.05,270052.78,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.0385,184987.56,197036.89,261961.23,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.039,183590.84,194203.44,256303.97,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.0395,180653.64,189174.22,247493.81,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.04,178173.6,185352.98,241451.78,-5221.2754,-4335.4424,-2427.6848,205.37877,247.89877,339.47113
0.0405,173769.47,179044.06,232228.14,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
0.041,170444.61,174519.6,226032.31,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
0.0415,165034.4,167438.02,216788.92,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
0.042,161258.88,162642.64,210731.11,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
0.0425,155543.97,155555.88,201918.5,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
0.043,151815.83,151018.97,196294.19,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
0.0435,146550.95,144686.06,188348.64,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
0.044,143377.0,140907.8,183433.14,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
0.0445,139295.39,136068.64,176716.25,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
0.045,137114.98,133467.47,172713.11,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
0.0455,134774.52,130621.914,167463.89,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
0.046,133886.42,129465.516,164482.62,-5221.2754,-4335.4424,-5769.2607,205.37877,247.89877,179.07549
