Time;Q_level_1;.Q_level_2;Q_level_3;Voltage_diff_1;Voltage_diff_2;Voltage_diff_3; Meter1.VLn_RMS; Meter2.VLn_RMS; Meter3.VLn_RMS
0.025;143453.69;86815.836;-165760.45;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0255;143427.39;86842.125;-165375.23;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.026;143497.86;86781.93;-165148.14;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0265;143702.8;86576.07;-164877.69;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.027;143880.31;86371.77;-164753.73;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0275;144161.42;85995.16;-164658.78;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.028;144331.62;85721.414;-164653.84;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0285;144512.86;85326.37;-164718.06;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.029;144561.22;85103.78;-164792.77;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0295;144500.23;84876.9;-164917.55;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.03;144362.25;84815.53;-164986.88;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0305;144006.28;84870.91;-165034.77;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.031;143699.94;85001.63;-165012.88;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0315;143167.9;85312.35;-164881.56;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.032;142787.84;85571.91;-164725.12;0;-435.65463;-580.3193;501.3335;524.91144;531.85535
0.0325;142244.81;85988.336;-164394.45;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.033;141927.94;86251.4;-164121.53;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.0335;141538.58;86571.48;-163663.2;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.034;141351.78;86710.734;-163346.03;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
0.0345;141176.69;86783.445;-162889.84;0;-435.65463;-311.83914;501.3335;524.91144;518.96826
