Time,L5.Constant Power L5_vab,L6.Constant Power L6_vab,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.IA,measurement4.Three-phase Meter4.POWER_S,measurement5.Three-phase Meter5.IA,measurement6.Three-phase Meter6.IA
0.0185,-2439.555,-1210.2323,427552.47,906981.25,86527.32,740.76794,712.83215,835.51465,-66.1456,150320.44,-57.30861,48.39169
0.019,-2247.6917,-930.6489,421749.1,904392.2,79740.68,740.76794,712.83215,835.51465,-59.181988,151269.98,-51.949516,27.928797
0.0195,-1978.4858,-613.53235,417975.16,902875.25,75112.48,740.76794,712.83215,835.51465,-50.091137,151900.8,-44.739628,6.6229386
0.02,-1640.789,-267.89316,412375.78,900788.3,67931.11,740.76794,712.83215,835.51465,-39.20026,152862.12,-35.935707,-14.880106
0.0205,-1245.6117,88.00689,408609.5,899442.44,62949.28,740.76794,712.83215,835.51465,-26.900032,153519.11,-25.851421,-35.934784
0.021,-806.37946,455.0258,402740.25,897267.1,55156.996,740.76794,712.83215,835.51465,-13.633211,154534.67,-14.846107,-55.903038
0.0215,-338.13437,805.56586,398592.1,895574.9,49748.688,1002.41595,712.83215,835.51465,0.12398824,155228.17,-3.3118656,-74.18332
0.022,143.15172,1142.0096,391921.1,892443.75,41335.812,1002.41595,1000.1936,835.51465,13.876333,156277.83,8.340283,-90.22195
0.0225,621.11084,1433.3856,387146.9,889858.5,35557.645,1002.41595,1000.1936,835.51465,27.130417,156975.1,19.695225,-103.53648
0.023,1079.08,1691.5669,379492.88,885126.8,26721.664,1002.41595,1000.1936,835.51465,39.40895,157993.69,30.348232,-113.72444
0.0235,1501.8126,1885.8439,374082.9,881394.3,20780.248,1002.41595,1000.1936,835.51465,50.271313,158638.89,39.91978,-120.47781
0.024,1874.2908,2023.1401,365588.56,874995.7,11904.5205,1002.41595,1000.1936,835.51465,59.3266,159530.11,48.06882,-123.59341
0.0245,2183.7327,2085.14,359747.28,870285.25,6067.11,1002.41595,1000.1936,835.51465,66.24992,160069.2,54.50502,-122.97774
0.025,2418.7473,2084.2178,350860.1,862765.2,-2507.479,1002.41595,1000.1936,835.51465,70.79185,160788.81,58.999012,-118.64879
0.0255,2571.434,2000.0701,344925.78,857573.4,-8091.95,1002.41595,1000.1936,1043.38,72.7891,161211.48,61.39074,-110.73745
0.026,2636.162,1850.1129,336114.88,849748.25,-16292.854,1002.41595,1000.1936,1043.38,72.17019,161768.73,61.594833,-99.4838
0.0265,2610.773,1631.7888,330334.38,844633.56,-21676.15,1002.41595,1000.1936,1043.38,68.95738,162105.42,59.604176,-85.2265
0.027,2495.7844,1353.19,321841.9,837261.0,-29716.852,1002.41595,1000.1936,1043.38,63.266266,162577.02,55.489708,-68.39686
0.0275,2295.0625,1025.2789,316289.06,832576.3,-35122.773,1002.41595,1000.1936,1043.38,55.300743,162886.8,49.398045,-49.502674
0.028,2015.8348,649.462,308058.06,825851.8,-43414.53,1002.41595,1000.1936,1043.38,45.347855,163369.47,41.546318,-29.11531
0.0285,1667.3187,255.40662,302571.38,821516.25,-49118.41,1002.41595,1000.1936,1043.38,33.764843,163715.75,32.214195,-7.848936
0.029,1261.7274,-162.51176,294224.38,815050.56,-58000.016,1002.41595,1000.1936,1043.38,20.968718,164284.69,21.73435,13.652742
0.0295,812.791,-574.1184,288506.9,810642.25,-64155.46,1002.41595,1000.1936,1043.38,7.4185514,164697.02,10.480249,34.742146
0.03,336.42407,-977.5893,279590.0,803677.0,-73734.32,1002.41595,1000.1936,1043.38,-6.396986,165359.16,-1.1463833,54.78102
0.0305,-154.02208,-1145.0685,266057.28,755206.6,-76843.59,1002.41595,1000.1936,1043.38,-17.098858,162878.73,-10.974227,59.609116
0.031,-605.3122,-1401.8276,251562.88,728265.6,-86806.86,1002.41595,1000.1936,1043.38,-28.052319,161267.42,-20.557556,73.45575
0.0315,-1031.1521,-1637.1735,240822.89,713255.4,-95118.39,1002.41595,1000.1936,1043.38,-38.03825,160134.56,-29.43497,84.6632
0.032,-1412.5231,-1836.4056,224276.72,694600.4,-109118.03,1002.41595,1000.1936,1043.38,-46.710423,158369.95,-37.301395,92.828804
0.0325,-1738.2585,-1977.8939,213977.44,683431.0,-118116.02,1002.41595,1000.1936,1043.38,-53.768814,157172.08,-43.886868,97.660225
0.033,-1999.8192,-2044.4513,200300.47,667505.25,-129287.445,1002.41595,1000.1936,1043.38,-58.968735,155338.17,-48.964664,98.98509
0.0335,-2190.1604,-2020.475,192123.16,657949.8,-135029.75,1002.41595,1000.1936,1043.38,-62.12962,154065.81,-52.360924,96.756454
0.034,-2301.3044,-1902.244,180917.03,646815.7,-142220.78,1002.41595,1000.1936,1043.38,-63.14201,152032.52,-53.958405,91.054726
0.0345,-2325.6655,-1700.7281,174437.66,641994.5,-146936.73,1002.41595,1000.1936,1043.38,-61.971165,150588.28,-53.702263,82.084015
0.035,-2258.1592,-1433.4265,167184.23,638064.3,-154533.08,1002.41595,1000.1936,1043.38,-58.656967,148345.48,-51.600754,70.16679
0.0355,-2097.5557,-1105.6305,164255.17,636851.6,-159589.47,1002.41595,1000.1936,1043.38,-53.31493,146857.62,-47.72581,55.730865
0.036,-1849.1393,-736.3568,162042.81,636225.56,-165915.48,1002.41595,1000.1936,1043.38,-46.129173,144743.48,-42.210472,39.294434
0.0365,-1523.2927,-337.48352,161202.14,636593.56,-168800.58,1002.41595,1000.1936,1043.38,-37.34821,143463.77,-35.243942,21.447702
0.037,-1135.6027,75.8631,159820.3,638924.9,-171436.47,1002.41595,1000.1936,1043.38,-27.27543,141781.27,-27.065926,2.8314624
0.0375,-703.7974,488.40616,158767.6,641973.7,-172822.47,1002.41595,1000.1936,1043.38,-16.259142,140820.34,-17.9572,-15.884453
0.038,-248.05595,890.7204,157653.6,648766.1,-175725.92,1002.41595,1000.1936,1043.38,-4.6796966,139599.3,-8.231124,-34.03021
0.0385,213.01617,1262.2174,157613.17,654430.3,-178570.98,1054.887,1000.1936,1043.38,7.0619183,138914.67,1.7782471,-50.953327
0.039,660.88477,1584.4313,158682.22,663789.3,-183779.7,1054.887,1000.1936,1043.38,18.560232,138043.34,11.726884,-66.04646
0.0395,1078.1823,1845.8259,159854.7,670188.5,-187267.92,1054.887,1074.9009,1043.38,29.416954,137538.17,21.272848,-78.767395
0.04,1449.0914,2029.6246,161732.62,679586.3,-191608.44,1054.887,1074.9009,1043.38,39.256954,136842.23,30.0883,-88.66005
0.0405,1758.777,2131.6572,162945.05,685618.44,-193714.97,1054.887,1074.9009,1043.38,47.739822,136386.5,37.87003,-95.36946
0.041,1994.4099,2143.6353,164906.48,694367.2,-195911.27,1054.887,1074.9009,1043.38,54.57209,135654.75,44.350613,-98.65504
0.0415,2145.8562,2061.3225,166505.8,700121.7,-196952.48,1054.887,1074.9009,1043.38,59.517456,135115.19,49.307415,-98.398735
0.042,2205.8313,1893.5676,169458.92,708918.94,-198046.0,1054.887,1074.9009,1043.38,62.404564,134218.84,52.56987,-94.609474
0.0425,2171.7593,1646.2805,171737.25,715053.7,-198401.06,1054.887,1074.9009,1000.237,63.134117,133571.78,54.02569,-87.423744
0.043,2044.5475,1325.924,175498.17,724855.75,-198220.9,1054.887,1074.9009,1000.237,61.680103,132570.75,53.62466,-77.10008
0.0435,1829.885,945.41003,178263.33,731871.2,-197654.73,1054.887,1074.9009,1000.237,58.09329,131912.0,51.380722,-64.00904
0.044,1537.02,517.87585,183008.69,743255.94,-196464.02,1054.887,1074.9009,1000.237,52.497402,130985.11,47.37061,-48.620537
0.0445,1178.1699,63.29219,186678.38,751520.25,-195711.95,1054.887,1074.9009,1000.237,45.0856,130441.28,41.73251,-31.487152
0.045,768.68945,-402.54678,192923.77,765119.6,-194994.05,1054.887,1074.9009,1000.237,36.11437,129780.34,34.65966,-13.224352
0.0455,324.87912,-863.15576,197448.16,775040.56,-194845.64,1054.887,1074.9009,1000.237,25.893957,129461.36,26.395573,5.5122085
0.046,-134.67525,-1302.1616,204487.95,791100.8,-194992.28,1054.887,1074.9009,1000.237,14.777297,129187.586,17.223742,24.04993
0.0465,-592.1324,-1692.1133,209246.44,802428.7,-195211.89,1054.887,1074.9009,1000.237,3.1494665,129142.97,7.459685,41.72324
0.047,-1028.3728,-2020.8632,216440.31,819984.7,-195547.55,1054.887,1074.9009,1000.237,-8.587486,129275.7,-2.560688,57.897564
0.0475,-1426.5356,-2276.6135,221298.83,831877.44,-195721.95,1054.887,1074.9009,1000.237,-20.028366,129482.04,-12.494142,71.992424
0.048,-1769.8754,-2447.5583,228691.52,849784.8,-195868.77,1054.887,1074.9009,1000.237,-30.777334,129928.01,-21.998665,83.50199
0.0485,-2044.6547,-2525.0232,233659.52,861695.9,-195871.23,1054.887,1074.9009,1000.237,-40.46266,130291.95,-30.747766,92.01309
0.049,-2239.7244,-2504.3306,241100.69,879451.5,-195667.9,1054.887,1074.9009,1000.237,-48.749275,130890.71,-38.440655,97.21989
0.0495,-2346.9463,-2387.9478,246039.28,891153.06,-195351.44,1054.887,1074.9009,1000.237,-55.350967,131308.58,-44.813015,98.93552
0.05,-2362.3784,-2176.702,253442.12,908352.75,-194557.78,1054.887,1074.9009,1000.237,-60.038834,131935.03,-49.645756,97.09889
0.0505,-2285.0908,-1884.0746,258389.33,919511.4,-193823.12,1054.887,1074.9009,1000.237,-62.651527,132340.58,-52.772964,91.77603
0.051,-2119.0305,-1515.6982,265805.03,935757.6,-192483.2,1054.887,1074.9009,1000.237,-63.098003,132920.84,-54.08731,83.15809
0.0515,-1870.4401,-1086.4916,270695.72,946257.25,-191492.94,1054.887,1074.9009,1000.237,-61.36303,133285.67,-53.54317,71.55419
0.052,-1550.093,-615.79895,277848.34,961501.6,-189970.25,1054.887,1074.9009,1000.237,-57.506973,133792.2,-51.159843,57.381294
0.0525,-1170.3632,-118.46833,282451.5,971279.4,-188978.89,1054.887,1074.9009,1000.237,-51.66246,134102.56,-47.01851,41.14843
0.053,-747.106,384.90234,289057.62,985235.4,-187567.81,1054.887,1074.9009,1000.237,-44.03199,134526.56,-41.262264,23.438374
0.0535,-296.88324,874.7074,293246.62,993981.56,-186671.72,1054.887,1074.9009,1000.237,-34.879623,134776.62,-34.08815,4.886892
0.054,161.8858,1330.3042,299172.6,1006137.2,-185339.83,1054.887,1074.9009,1000.237,-24.521156,135096.28,-25.74336,-13.838957
0.0545,611.09973,1727.8181,302863.4,1013566.8,-184409.6,1054.887,1074.9009,1000.237,-13.315541,135262.9,-16.514204,-32.06933
0.055,1032.6427,2064.3818,308003.97,1023709.5,-182853.66,980.4032,1074.9009,1000.237,-1.649546,135435.53,-6.7180963,-49.14768
0.0555,1409.9926,2320.2979,311189.78,1029820.3,-181648.7,980.4032,1074.9009,1000.237,10.072857,135488.14,3.3084972,-64.46147
0.056,1728.0958,2482.6958,315700.94,1038066.7,-179490.94,980.4032,1056.9465,1000.237,21.447083,135461.88,13.220996,-77.46104
0.0565,1974.6676,2548.1968,318606.8,1042998.5,-177764.89,980.4032,1056.9465,1000.237,32.078983,135374.55,22.678848,-87.67906
0.057,2139.7263,2509.9104,322946.56,1049677.4,-174676.94,980.4032,1056.9465,1000.237,41.601536,135141.38,31.357029,-94.7493
