Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0375,254787.6,298376.12,-276664.3,440.49252,457.53668,436.22043
0.038,254736.28,298569.12,-276171.38,440.49252,457.53668,436.22043
0.0385,254723.08,298766.12,-275735.22,440.49252,457.53668,436.22043
0.039,254718.64,299097.97,-274976.97,440.49252,457.53668,436.22043
0.0395,254718.08,299301.28,-274450.4,440.49252,457.53668,436.22043
0.04,254708.25,299506.3,-273714.9,440.49252,457.53668,436.22043
0.0405,254686.45,299543.53,-273312.84,440.49252,457.53668,436.22043
0.041,254614.66,299428.88,-272907.47,440.49252,457.53668,436.22043
0.0415,254534.53,299239.84,-272788.53,440.49252,457.53668,436.22043
0.042,254363.86,298811.75,-272833.16,440.49252,457.53668,436.22043
0.0425,254221.06,298455.9,-272989.5,440.49252,457.53668,436.22043
0.043,253976.27,297872.88,-273337.7,440.49252,457.53668,436.22043
0.0435,255245.56,298957.22,-274516.62,440.49252,457.53668,436.22043
0.044,254902.31,298440.3,-275197.47,440.49252,457.53668,436.22043
0.0445,254758.6,298236.94,-275830.88,440.49252,457.53668,436.22043
0.045,254655.19,298114.22,-276940.53,440.49252,457.53668,436.22043
0.0455,254673.69,298112.1,-277676.03,440.49252,454.59332,434.38345
0.046,254836.64,298104.16,-278545.8,440.49252,454.59332,434.38345
0.0465,255005.14,298036.44,-278867.12,440.49252,454.59332,434.38345
0.047,255255.39,297825.97,-278916.47,440.49252,454.59332,434.38345
0.0475,255377.3,297649.1,-278717.34,440.49252,454.59332,434.38345
0.048,255495.8,297397.66,-278252.1,439.00204,454.59332,434.38345
0.0485,255564.36,297249.78,-277940.94,439.00204,454.59332,434.38345
0.049,255695.95,297008.56,-277600.94,439.00204,454.59332,434.38345
0.0495,255800.89,296799.34,-277497.2,439.00204,454.59332,434.38345
0.05,255945.69,296373.12,-277545.94,439.00204,454.59332,434.38345
0.0505,256015.53,296015.22,-277714.06,439.00204,454.59332,434.38345
0.051,256081.47,295405.62,-278149.1,439.00204,454.59332,434.38345
0.0515,256113.05,294980.44,-278529.1,439.00204,454.59332,434.38345
0.052,256150.28,294375.8,-279139.5,439.00204,454.59332,434.38345
0.0525,256164.75,294036.12,-279505.53,439.00204,454.59332,434.38345
0.053,256159.97,293687.4,-279885.6,439.00204,454.59332,434.38345
0.0535,256148.19,293584.38,-279985.3,439.00204,454.59332,434.38345
0.054,256157.69,293615.56,-279886.72,439.00204,454.59332,434.38345
0.0545,256203.02,293734.94,-279670.5,439.00204,454.59332,434.38345
0.055,256330.8,294006.03,-279169.62,439.00204,454.59332,434.38345
0.0555,256435.89,294221.22,-278749.66,439.00204,454.59332,434.38345
0.056,256579.0,294547.22,-278059.12,439.00204,454.59332,434.38345
0.0565,256647.23,294733.72,-277602.22,439.00204,454.59332,434.38345
0.057,256698.66,294903.62,-277006.5,439.00204,454.59332,434.38345
0.0575,256700.39,294917.72,-276711.03,439.00204,454.59332,434.38345
0.058,256651.8,294764.28,-276469.7,439.00204,454.59332,434.38345
0.0585,256580.03,294549.88,-276449.75,439.00204,454.59332,434.38345
0.059,256415.78,294109.12,-276598.5,439.00204,454.59332,434.38345
0.0595,256276.52,293772.34,-276776.8,439.00204,454.59332,434.38345
0.06,256045.5,293265.8,-277074.16,439.00204,454.59332,434.38345
0.0605,255888.52,292965.16,-277239.8,439.00204,454.59332,434.38345
0.061,255660.12,292632.94,-277361.97,439.00204,454.59332,434.38345
0.0615,255516.31,292523.72,-277322.16,439.00204,454.59332,434.38345
0.062,255316.86,292555.75,-277036.38,439.00204,454.59332,434.38345
0.0625,255207.72,292701.62,-276684.34,439.00204,456.49805,438.4493
0.063,255081.11,293060.34,-275926.84,439.00204,456.49805,438.4493
0.0635,255022.23,293353.72,-275296.06,439.00204,456.49805,438.4493
0.064,254961.28,293802.28,-274231.0,439.00204,456.49805,438.4493
0.0645,254931.14,294064.78,-273495.16,439.00204,456.49805,438.4493
0.065,254888.58,294341.34,-272448.78,439.00204,456.49805,438.4493
0.0655,254857.12,294419.38,-271842.8,441.14023,456.49805,438.4493
0.066,254785.23,294357.78,-271137.84,441.14023,456.49805,438.4493
0.0665,254714.14,294195.8,-270824.16,441.14023,456.49805,438.4493
0.067,254566.33,293798.2,-270585.53,441.14023,456.49805,438.4493
0.0675,254445.14,293459.16,-270560.97,441.14023,456.49805,438.4493
0.068,254245.8,292902.34,-270662.66,441.14023,456.49805,438.4493
0.0685,254112.88,292538.84,-270777.28,441.14023,456.49805,438.4493
0.069,253926.89,292074.1,-270937.5,441.14023,456.49805,438.4493
0.0695,253816.55,291853.34,-270991.94,441.14023,456.49805,438.4493
0.07,253678.52,291701.4,-270930.06,441.14023,456.49805,438.4493
0.0705,253607.9,291727.88,-270770.44,441.14023,456.49805,438.4493
0.071,253549.39,291934.75,-270343.8,441.14023,456.49805,438.4493
0.0715,253539.12,292155.2,-269945.06,441.14023,456.49805,438.4493
0.072,253552.95,292548.72,-269218.53,441.14023,456.49805,438.4493
0.0725,253570.31,292813.22,-268686.56,441.14023,456.49805,438.4493
0.073,253590.94,293145.1,-267896.66,441.14023,456.49805,438.4493
0.0735,253592.69,293287.88,-267423.97,441.14023,456.49805,438.4493
0.074,253563.3,293346.8,-266868.1,441.14023,456.49805,438.4493
0.0745,253515.45,293273.47,-266629.62,441.14023,456.49805,438.4493
0.075,253393.22,293000.28,-266489.9,441.14023,456.49805,438.4493
0.0755,253280.08,292730.8,-266532.38,441.14023,456.49805,438.4493
0.076,253069.89,292244.4,-266746.9,441.14023,456.49805,438.4493
0.0765,252912.34,291899.66,-266945.1,441.14023,456.49805,438.4493
0.077,252671.55,291416.62,-267240.88,441.14023,456.49805,438.4493
0.0775,252515.36,291157.9,-267388.72,441.14023,456.49805,438.4493
0.078,252299.17,290918.97,-267459.88,441.14023,456.49805,438.4493
0.0785,252171.31,290876.44,-267371.7,441.14023,456.49805,438.4493
0.079,252014.47,290985.72,-267002.78,441.14023,456.49805,438.4493
0.0795,251936.34,291153.5,-266599.03,441.14023,451.63733,436.79355
0.08,251857.17,291495.3,-265795.16,441.14023,451.63733,436.79355
0.0805,251826.38,291743.7,-265166.47,441.14023,451.63733,436.79355
0.081,251801.69,292074.66,-264171.34,441.14023,451.63733,436.79355
0.0815,251791.6,292226.94,-263526.4,441.14023,451.63733,436.79355
0.082,251766.61,292303.25,-262674.7,441.14023,451.63733,436.79355
0.0825,251735.8,292235.78,-262227.06,437.12778,451.63733,436.79355
0.083,251656.31,291949.75,-261778.17,437.12778,451.63733,436.79355
0.0835,251575.2,291647.97,-261632.67,437.12778,451.63733,436.79355
0.084,251420.22,291077.62,-261620.1,437.12778,451.63733,436.79355
0.0845,251303.05,290652.34,-261718.53,437.12778,451.63733,436.79355
0.085,251124.38,290014.66,-261954.0,437.12778,451.63733,436.79355
0.0855,251009.83,289633.06,-262121.33,437.12778,451.63733,436.79355
0.086,250856.25,289186.66,-262311.72,437.12778,451.63733,436.79355
0.0865,250771.48,289002.56,-262357.22,437.12778,451.63733,436.79355
0.087,250677.61,288921.3,-262252.28,437.12778,451.63733,436.79355
0.0875,250640.1,288990.66,-262055.61,437.12778,451.63733,436.79355
