Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,325646.78,80765.51,-8782.386,334.47562,278.78598,421.82785
0.0005,324756.03,79183.87,-11528.451,334.47562,278.78598,421.82785
0.001,323353.97,76892.16,-15505.096,334.47562,278.78598,421.82785
0.0015,322401.34,75444.15,-17990.416,334.47562,278.78598,421.82785
0.002,321029.5,73411.83,-21410.506,334.47562,278.78598,421.82785
0.0025,320190.4,72168.08,-23501.215,334.47562,278.78598,421.82785
0.003,319063.72,70540.7,-26431.3,334.47562,278.78598,421.82785
0.0035,318413.66,69654.195,-28285.13,334.47562,278.78598,421.82785
0.004,317605.56,68627.375,-30946.639,334.47562,278.78598,421.82785
0.0045,317187.44,68103.28,-32651.639,334.47562,278.78598,421.82785
0.005,316743.84,67459.34,-35113.484,334.47562,278.78598,421.82785
0.0055,316538.9,67062.83,-36706.812,334.47562,278.78598,421.82785
0.006,316291.38,66449.4,-39109.895,334.47562,278.78598,421.82785
0.0065,316128.06,66013.28,-40769.395,334.47562,278.78598,421.82785
0.007,315841.97,65276.402,-43422.68,334.47562,278.78598,421.82785
0.0075,315594.44,64695.52,-45326.03,334.47562,278.78598,421.82785
0.008,315110.38,63644.055,-48369.754,334.47562,278.78598,421.82785
0.0085,314700.72,62809.426,-50511.8,334.47562,278.78598,421.82785
0.009,313939.25,61361.273,-53854.836,334.47562,333.645,421.82785
0.0095,313331.4,60281.367,-56149.68,391.31046,333.645,421.82785
0.01,312317.94,58530.473,-59638.95,391.31046,333.645,421.82785
0.0105,311596.66,57307.21,-61959.75,391.31046,333.645,421.82785
0.011,310492.88,55450.81,-65364.004,391.31046,333.645,421.82785
0.0115,309762.25,54237.57,-67550.93,391.31046,333.645,421.82785
0.012,308689.56,52499.71,-70663.51,391.31046,333.645,421.82785
0.0125,308002.7,51411.273,-72616.7,391.31046,333.645,421.82785
0.013,307038.44,49903.164,-75368.35,391.31046,333.645,421.82785
0.0135,306437.44,48965.773,-77109.33,391.31046,333.645,432.5585
0.014,305581.62,47627.45,-79607.53,391.31046,333.645,432.5585
0.0145,305027.53,46772.203,-81206.84,391.31046,333.645,432.5585
0.015,304177.53,45511.53,-83548.375,391.31046,333.645,432.5585
0.0155,303573.47,44665.54,-85084.55,391.31046,333.645,432.5585
0.016,302594.53,43364.703,-87383.92,391.31046,333.645,432.5585
0.0165,301887.16,42471.684,-88921.805,391.31046,333.645,432.5585
0.017,300754.28,41099.047,-91239.75,391.31046,333.645,432.5585
0.0175,299954.06,40174.035,-92779.516,391.31046,333.645,432.5585
0.018,298719.8,38804.31,-95052.29,391.31046,333.645,432.5585
0.0185,297902.12,37925.63,-96522.5,391.31046,333.645,432.5585
0.019,296731.38,36702.984,-98624.414,391.31046,333.645,432.5585
0.0195,296017.56,35978.164,-99947.336,391.31046,333.645,432.5585
0.02,295087.6,35048.266,-101821.695,391.31046,333.645,432.5585
