Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.034,2585119.8,1456038.2,428617.7,1575.6493,1658.5568,1562.3796
0.0345,2561045.0,1448623.8,416399.53,1575.6493,1658.5568,1562.3796
0.035,2525949.8,1440851.4,397619.84,1575.6493,1658.5568,1562.3796
0.0355,2504275.2,1436531.1,384391.12,1575.6493,1658.5568,1562.3796
0.036,2473508.8,1430377.9,364281.78,1575.6493,1658.5568,1562.3796
0.0365,2452868.2,1426593.0,351453.03,1575.6493,1658.5568,1562.3796
0.037,2420194.0,1421746.9,333681.44,1575.6493,1658.5568,1562.3796
0.0375,2397248.2,1419092.4,322551.03,1575.6493,1658.5568,1562.3796
0.038,2361717.0,1415970.2,305979.66,1575.6493,1658.5568,1562.3796
0.0385,2337379.2,1414644.4,294626.3,1575.6493,1658.5568,1562.3796
0.039,2299309.2,1414286.1,277164.84,1575.6493,1658.5568,1424.7947
0.0395,2272537.2,1415258.5,265534.7,1575.6493,1658.5568,1424.7947
0.04,2230412.0,1418080.2,248553.11,1575.6493,1658.5568,1424.7947
0.0405,2200636.0,1418756.4,237575.5,1575.6493,1658.5568,1424.7947
0.041,2151880.5,1408707.4,222215.42,1575.6493,1658.5568,1424.7947
0.0415,2117790.2,1390465.6,214069.47,1575.6493,1658.5568,1424.7947
0.042,2065438.4,1347063.9,207704.12,1575.6493,1658.5568,1424.7947
0.0425,2027775.9,1314014.0,207739.62,1575.6493,1658.5568,1424.7947
0.043,1962260.1,1273182.6,211529.45,1575.6493,1658.5568,1424.7947
0.0435,1912319.0,1257310.1,213734.97,1575.6493,1658.5568,1424.7947
0.044,1834375.6,1249791.1,212453.1,1575.6493,1658.5568,1424.7947
0.0445,1785644.9,1251125.5,207804.34,1575.6493,1658.5568,1424.7947
0.045,1722412.1,1255018.0,196887.75,1575.6493,1658.5568,1424.7947
0.0455,1686054.2,1256851.2,188781.88,1575.6493,1658.5568,1424.7947
0.046,1635548.1,1258543.9,177611.23,1575.6493,1658.5568,1424.7947
0.0465,1602492.8,1259406.1,171095.55,1575.6493,1658.5568,1424.7947
0.047,1553232.9,1260082.2,162016.52,1575.6493,1658.5568,1424.7947
0.0475,1521086.5,1259770.6,156037.89,1575.6493,1658.5568,1424.7947
0.048,1473809.9,1258256.2,147306.4,1575.6493,1658.5568,1424.7947
0.0485,1442292.1,1257001.1,142021.36,1159.7295,1658.5568,1424.7947
0.049,1394585.8,1255118.5,135238.42,1159.7295,1243.9027,1424.7947
0.0495,1363244.1,1253563.2,131238.22,1159.7295,1243.9027,1424.7947
0.05,1319092.9,1250035.4,125140.51,1159.7295,1243.9027,1424.7947
0.0505,1292231.0,1246966.4,120633.266,1159.7295,1243.9027,1424.7947
0.051,1254903.4,1242562.2,113303.74,1159.7295,1243.9027,1424.7947
0.0515,1230775.9,1240680.1,108452.89,1159.7295,1243.9027,1424.7947
0.052,1194304.1,1240092.8,101959.98,1159.7295,1243.9027,1424.7947
0.0525,1169920.2,1240799.4,98307.65,1159.7295,1243.9027,1424.7947
0.053,1134293.4,1241369.4,93592.33,1159.7295,1243.9027,1424.7947
0.0535,1110742.4,1235923.9,91026.086,1159.7295,1243.9027,1424.7947
0.054,1075773.6,1207580.6,89968.34,1159.7295,1243.9027,1424.7947
0.0545,1053286.2,1174059.9,92798.45,1159.7295,1243.9027,1424.7947
0.055,1019137.06,1110663.8,103933.13,1159.7295,1243.9027,870.0014
0.0555,993836.25,1067891.6,115337.86,1159.7295,1243.9027,870.0014
0.056,949961.44,1013645.44,135148.6,1159.7295,1243.9027,870.0014
0.0565,918071.75,985693.5,147969.5,1159.7295,1243.9027,870.0014
0.057,871323.9,952680.06,164254.88,1159.7295,1243.9027,870.0014
0.0575,843269.2,933848.56,172928.27,1159.7295,1243.9027,870.0014
0.058,806664.0,907699.2,183581.62,1159.7295,1243.9027,870.0014
0.0585,785017.5,891209.56,189715.31,1159.7295,1243.9027,870.0014
0.059,755204.5,867397.5,197836.19,1159.7295,1243.9027,870.0014
0.0595,736815.7,851685.25,202420.14,1159.7295,1243.9027,870.0014
0.06,711061.06,828108.6,207979.14,1159.7295,1243.9027,870.0014
0.0605,694327.0,812859.3,211052.67,1159.7295,1243.9027,870.0014
0.061,668006.06,791934.8,215442.52,1159.7295,1243.9027,870.0014
0.0615,649086.56,779551.3,218515.39,1159.7295,1243.9027,870.0014
0.062,619622.4,762520.0,223190.08,1159.7295,1243.9027,870.0014
0.0625,600561.4,751410.3,225958.1,1159.7295,1243.9027,870.0014
0.063,574596.9,734515.5,228900.95,1159.7295,1243.9027,870.0014
0.0635,559103.06,723433.0,229916.52,1159.7295,1243.9027,870.0014
0.064,537372.0,708238.8,230341.48,1159.7295,1243.9027,870.0014
0.0645,523127.94,699487.5,230248.17,1159.7295,1243.9027,870.0014
0.065,501735.5,688359.56,230048.72,670.62726,1243.9027,870.0014
0.0655,487770.1,681909.3,229994.22,670.62726,752.92126,870.0014
0.066,467965.1,673086.06,229974.03,670.62726,752.92126,870.0014
0.0665,455712.8,667593.7,229928.64,670.62726,752.92126,870.0014
0.067,438683.56,659773.8,229775.7,670.62726,752.92126,870.0014
0.0675,428154.0,654779.44,229651.55,670.62726,752.92126,870.0014
0.068,413611.5,647564.25,229490.89,670.62726,752.92126,870.0014
0.0685,404806.84,643020.25,229399.53,670.62726,752.92126,870.0014
0.069,392872.66,636874.8,229197.3,670.62726,752.92126,870.0014
0.0695,385636.38,633327.9,228942.11,670.62726,752.92126,870.0014
0.07,375599.03,628689.44,228282.48,670.62726,752.92126,870.0014
0.0705,369399.03,625796.44,227636.64,670.62726,752.92126,870.0014
0.071,360841.28,621304.0,226386.23,670.62726,752.92126,870.0014
0.0715,355661.94,618082.4,225390.2,670.62726,752.92126,556.7283
0.072,348588.7,613028.6,223671.52,670.62726,752.92126,556.7283
0.0725,344206.44,609652.9,222366.64,670.62726,752.92126,556.7283
0.073,337910.8,604759.9,220145.19,670.62726,752.92126,556.7283
0.0735,333831.25,601624.7,218482.6,670.62726,752.92126,556.7283
0.074,327852.06,597049.1,215745.0,670.62726,752.92126,556.7283
0.0745,323961.4,594052.25,213790.89,670.62726,752.92126,556.7283
0.075,318240.8,589610.56,210728.05,670.62726,752.92126,556.7283
0.0755,314482.22,586687.7,208623.33,670.62726,752.92126,556.7283
0.076,308666.2,581589.94,205443.89,670.62726,752.92126,556.7283
0.0765,303542.47,573073.9,203722.9,670.62726,752.92126,556.7283
0.077,293093.28,543405.8,203715.42,670.62726,752.92126,556.7283
0.0775,284545.6,512638.84,206648.0,670.62726,752.92126,556.7283
0.078,267764.03,458132.1,210449.81,670.62726,752.92126,556.7283
0.0785,254785.52,424893.66,214581.3,670.62726,752.92126,556.7283
0.079,233283.08,380039.66,221916.23,670.62726,752.92126,556.7283
0.0795,218283.48,353505.75,227254.77,670.62726,752.92126,556.7283
0.08,196065.8,318503.72,235110.22,670.62726,752.92126,556.7283
0.0805,181760.95,298521.75,239668.86,670.62726,752.92126,556.7283
0.081,161333.78,273351.94,244584.44,670.62726,752.92126,556.7283
0.0815,148762.42,258872.03,246270.5,424.97513,752.92126,556.7283
0.082,132429.27,238397.17,246475.06,424.97513,498.88388,556.7283
0.0825,123512.93,224775.1,245432.33,424.97513,498.88388,556.7283
0.083,112508.42,204815.58,243028.12,424.97513,498.88388,556.7283
0.0835,105935.49,192733.62,241366.52,424.97513,498.88388,556.7283
0.084,96051.13,177572.31,239282.03,424.97513,498.88388,556.7283
0.0845,89315.29,169310.16,238214.8,424.97513,498.88388,556.7283
0.085,79586.59,158545.02,236882.92,424.97513,498.88388,556.7283
0.0855,73783.35,151826.56,235993.61,424.97513,498.88388,556.7283
0.086,66407.35,142097.7,234408.4,424.97513,498.88388,556.7283
0.0865,62282.254,135998.28,233099.27,424.97513,498.88388,556.7283
0.087,56937.734,127770.89,230720.55,424.97513,498.88388,556.7283
0.0875,53813.668,122955.05,228877.6,424.97513,498.88388,556.7283
0.088,49702.492,116641.52,225822.88,424.97513,498.88388,350.86478
