Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,374143.88,137317.67,-212208.88,406.86215,442.30817,365.2106
0.0005,373753.94,137064.61,-212066.12,406.86215,442.30817,365.2106
0.001,373146.38,136668.55,-211473.83,406.86215,442.30817,365.2106
0.0015,372729.06,136408.77,-210858.64,406.86215,442.30817,365.2106
0.002,372092.25,136022.98,-209701.0,397.175,442.30817,365.2106
0.0025,371663.25,135749.25,-208858.7,397.175,442.30817,365.2106
0.003,371004.47,135276.34,-207654.69,397.175,442.30817,365.2106
0.0035,370543.56,134900.08,-206988.39,397.175,442.30817,365.2106
0.004,369805.8,134223.47,-206341.56,397.175,442.30817,365.2106
0.0045,369278.72,133690.8,-206212.98,397.175,442.30817,365.2106
0.005,368440.22,132755.31,-206527.62,397.175,442.30817,365.2106
0.0055,367854.8,132034.72,-207060.97,397.175,442.30817,365.2106
0.006,366942.12,130817.92,-208252.67,397.175,442.30817,365.2106
0.0065,366306.47,129931.48,-209222.33,397.175,442.30817,365.2106
0.007,365312.7,128524.87,-210765.8,397.175,442.30817,365.2106
0.0075,364625.2,127561.375,-211752.75,397.175,442.30817,365.2106
0.008,363565.0,126125.305,-213020.81,397.175,442.30817,365.2106
0.0085,362846.56,125191.4,-213655.4,397.175,442.30817,365.2106
0.009,361765.6,123839.07,-214232.44,397.175,442.30817,365.2106
0.0095,361044.25,122969.82,-214380.0,397.175,442.30817,365.2106
0.01,359963.44,121705.55,-214310.88,397.175,442.30817,365.2106
0.0105,359246.88,120876.03,-214133.83,397.175,442.30817,354.95023
0.011,358180.6,119620.25,-213820.58,397.175,442.30817,354.95023
0.0115,357474.44,118754.375,-213675.9,397.175,442.30817,354.95023
0.012,356417.62,117383.98,-213717.34,397.175,442.30817,354.95023
0.0125,355709.72,116409.28,-213993.83,397.175,442.30817,354.95023
0.013,354630.25,114838.83,-214857.78,397.175,442.30817,354.95023
0.0135,353896.38,113719.23,-215737.8,397.175,442.30817,354.95023
0.014,352775.1,111936.336,-217461.2,397.175,442.30817,354.95023
0.0145,352016.2,110687.96,-218816.56,397.175,442.30817,354.95023
