Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.015,256719.19,275694.12,-273402.06,442.2354,463.49384,426.37097
0.0152,256600.12,275563.62,-273418.62,442.2354,463.49384,426.37097
0.0154,256482.88,275444.0,-273427.8,442.2354,463.49384,426.37097
0.0156,256368.25,275338.6,-273424.12,442.2354,463.49384,426.37097
0.0158,256257.3,275247.44,-273404.97,442.2354,463.49384,426.37097
0.016,256150.72,275174.78,-273366.5,442.2354,463.49384,426.37097
0.0162,256049.08,275123.5,-273304.7,442.2354,463.49384,426.37097
0.0164,255952.72,275091.6,-273217.7,442.2354,463.49384,426.37097
0.0166,255862.16,275083.0,-273103.8,442.2354,463.49384,426.37097
0.0168,255777.77,275099.56,-272960.66,442.2354,463.49384,426.37097
0.017,255699.5,275138.94,-272788.03,442.2354,463.49384,426.37097
0.0172,255627.69,275201.66,-272587.44,442.2354,463.49384,426.37097
0.0174,255562.22,275286.2,-272358.47,442.2354,463.49384,426.37097
0.0176,255503.12,275391.56,-272103.2,442.2354,463.49384,426.37097
0.0178,255450.33,275515.44,-271823.72,442.2354,463.49384,426.37097
0.018,255403.14,275654.84,-271521.34,442.2354,463.49384,426.37097
0.0182,255361.28,275807.8,-271201.8,442.2354,463.49384,430.80322
0.0184,255324.36,275970.1,-270867.44,442.2354,463.49384,430.80322
0.0186,255291.6,276138.5,-270521.16,442.2354,463.49384,430.80322
0.0188,255262.11,276308.97,-270170.5,442.2354,463.49384,430.80322
0.019,255235.42,276477.62,-269818.56,442.2354,463.49384,430.80322
0.0192,255210.66,276642.2,-269469.3,442.2354,463.49384,430.80322
0.0194,255186.64,276796.7,-269129.97,442.2354,463.49384,430.80322
0.0196,255163.3,276938.9,-268803.75,442.2354,463.49384,430.80322
0.0198,255139.4,277066.22,-268495.44,442.2354,463.49384,430.80322
0.02,255113.62,277173.38,-268209.56,442.2354,463.49384,430.80322
0.0202,255086.5,277259.7,-267948.7,442.2354,463.49384,430.80322
