Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0345,717332.94,676410.7,-397625.53,1038.4934,1021.80615,1024.5265
0.035,713873.56,675642.9,-398663.78,1038.4934,1021.80615,1024.5265
0.0355,708992.44,674483.94,-400324.8,1038.4934,1021.80615,1024.5265
0.036,705969.2,673599.8,-401540.47,1038.4934,1021.80615,1024.5265
0.0365,701766.7,671939.0,-403566.7,1038.4934,1021.80615,1024.5265
0.037,699155.44,670535.4,-405056.8,1038.4934,1021.80615,1024.5265
0.0375,695443.5,667922.0,-407474.94,1038.4934,1021.80615,1024.5265
0.038,693045.0,665848.2,-409183.5,1038.4934,1021.80615,1024.5265
0.0385,689458.7,662318.4,-411845.12,1038.4934,1021.80615,1024.5265
0.039,687024.06,659757.44,-413657.06,1038.4934,1021.80615,1024.5265
0.0395,683263.3,655782.3,-416386.38,1038.4934,1021.80615,1024.5265
0.04,680622.0,653161.44,-418195.84,1038.4934,1021.80615,1024.5265
0.0405,676441.56,649483.7,-420886.0,1038.4934,1021.80615,1024.5265
0.041,674553.94,647329.8,-422184.75,1038.4934,1021.80615,1024.5265
0.0415,666657.44,639450.1,-426905.12,1038.4934,1021.80615,1024.5265
0.042,660650.06,634070.8,-429664.66,1038.4934,1021.80615,1024.5265
0.0425,651476.75,626773.5,-432320.4,950.1314,1021.80615,938.2125
0.043,644169.4,620371.8,-432643.12,950.1314,1021.80615,938.2125
0.0435,631230.06,602361.56,-428491.6,950.1314,1021.80615,938.2125
0.044,622135.44,582789.1,-421016.8,950.1314,1021.80615,938.2125
0.0445,606647.94,545531.3,-401817.1,950.1314,1021.80615,938.2125
0.045,592615.75,520880.97,-384925.34,950.1314,1021.80615,938.2125
0.0455,563020.06,493108.06,-357885.5,950.1314,1021.80615,938.2125
0.046,538819.44,482436.0,-341448.06,950.1314,1021.80615,938.2125
0.0465,502130.7,474666.72,-321854.97,950.1314,1021.80615,938.2125
0.047,480897.5,471557.97,-312123.22,950.1314,1021.80615,938.2125
0.0475,455564.38,466357.9,-300581.94,950.1314,1021.80615,938.2125
0.048,441748.5,462265.94,-293643.84,950.1314,1021.80615,938.2125
0.0485,422850.1,455976.5,-283175.6,950.1314,1021.80615,938.2125
0.049,410860.78,451834.47,-276089.38,950.1314,1021.80615,938.2125
0.0495,393959.56,445404.78,-265500.06,950.1314,1021.80615,938.2125
0.05,383202.62,441060.1,-258388.17,950.1314,1021.80615,938.2125
0.0505,366374.34,435357.9,-247165.08,950.1314,1021.80615,938.2125
0.051,353952.12,432575.3,-239153.02,950.1314,834.45166,938.2125
0.0515,334000.84,429706.56,-226768.25,950.1314,834.45166,938.2125
0.052,321079.88,428017.9,-218881.11,950.1314,834.45166,938.2125
0.0525,304299.97,424950.84,-208657.05,950.1314,834.45166,938.2125
0.053,295027.03,422666.8,-203175.33,950.1314,834.45166,938.2125
0.0535,282539.12,419923.7,-196630.38,950.1314,834.45166,938.2125
0.054,274126.0,419078.8,-192935.6,950.1314,834.45166,938.2125
0.0545,260681.9,419281.12,-187729.16,950.1314,834.45166,938.2125
0.055,251597.95,419930.3,-184334.56,950.1314,834.45166,938.2125
0.0555,238904.81,420856.62,-179473.83,950.1314,834.45166,938.2125
0.056,231414.47,421266.53,-176524.38,950.1314,834.45166,938.2125
0.0565,221528.95,421743.88,-172662.05,950.1314,834.45166,938.2125
0.057,215626.5,422130.72,-170442.6,950.1314,834.45166,938.2125
0.0575,207732.94,422924.4,-167558.77,950.1314,834.45166,938.2125
0.058,203232.94,423608.9,-165913.22,950.1314,834.45166,938.2125
0.0585,197797.75,424954.8,-163904.02,950.1314,834.45166,938.2125
0.059,195018.31,426137.6,-162910.78,706.2384,834.45166,746.77075
0.0595,191976.44,428285.75,-161951.39,706.2384,834.45166,746.77075
0.06,190708.27,429751.62,-161622.1,706.2384,834.45166,746.77075
0.0605,190166.94,431458.78,-161456.6,706.2384,834.45166,746.77075
0.061,190839.02,432026.8,-161483.19,706.2384,834.45166,746.77075
0.0615,193347.84,431956.78,-161639.58,706.2384,834.45166,746.77075
0.062,195822.53,431424.06,-161809.17,706.2384,834.45166,746.77075
0.0625,200309.02,430143.7,-162180.83,706.2384,834.45166,746.77075
0.063,203639.44,429020.1,-162518.98,706.2384,834.45166,746.77075
0.0635,209014.28,426856.06,-163150.19,706.2384,834.45166,746.77075
0.064,212814.28,425046.25,-163629.38,706.2384,834.45166,746.77075
0.0645,218708.52,421819.75,-164391.73,706.2384,834.45166,746.77075
0.065,222650.2,419420.84,-164915.86,706.2384,834.45166,746.77075
0.0655,228377.33,415631.03,-165736.39,706.2384,834.45166,746.77075
0.066,232029.52,413052.62,-166324.56,706.2384,834.45166,746.77075
0.0665,237242.0,409177.78,-167301.75,706.2384,834.45166,746.77075
0.067,240541.17,406619.94,-168030.52,706.2384,834.45166,746.77075
0.0675,245198.88,402873.34,-169254.84,706.2384,699.4515,746.77075
0.068,248100.45,400445.34,-170174.38,706.2384,699.4515,746.77075
