Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS
0.0,429634.25,-34010.305,-351695.5,468.5945,528.2624,391.47543
0.0005,429647.53,-35072.566,-352036.5,468.5945,528.2624,391.47543
0.001,429651.1,-36654.9,-352671.06,468.5945,528.2624,391.47543
0.0015,429629.72,-37705.84,-353203.47,468.5945,528.2624,391.47543
0.002,429539.1,-39285.137,-354185.7,468.5945,528.2624,391.47543
0.0025,429424.38,-40340.3,-354959.84,468.5945,528.2624,391.47543
0.003,429146.9,-41908.535,-356264.62,468.5945,528.2624,391.47543
0.0035,428878.25,-42924.016,-357194.06,468.5945,528.2624,391.47543
0.004,428344.22,-44366.258,-358595.12,468.5945,528.2624,391.47543
0.0045,427897.03,-45255.125,-359482.22,468.5945,528.2624,391.47543
0.005,427105.06,-46454.695,-360658.97,468.5945,528.2624,391.47543
0.0055,426509.78,-47154.46,-361304.66,468.5945,528.2624,391.47543
0.006,425547.34,-48033.465,-362042.3,468.5945,528.2624,391.47543
0.0065,424871.97,-48496.773,-362387.5,468.5945,528.2624,391.47543
0.007,423843.7,-49012.19,-362738.62,468.5945,528.2624,391.47543
0.0075,423168.06,-49250.434,-362903.72,468.5945,528.2624,391.47543
0.008,422206.72,-49500.61,-363144.0,468.5945,528.2624,391.47543
0.0085,421617.84,-49630.668,-363358.8,468.5945,528.2624,391.47543
0.009,420828.47,-49831.652,-363859.6,468.5945,528.2624,391.47543
0.0095,420371.12,-50003.918,-364358.62,468.5945,528.2624,391.47543
0.01,419791.34,-50374.715,-365404.4,468.5945,528.2624,391.47543
0.0105,419475.56,-50726.0,-366304.7,468.5945,528.2624,391.47543
0.011,419096.47,-51441.203,-367928.53,468.5945,528.2624,396.88818
0.0115,418893.3,-52048.965,-369151.8,468.5945,528.2624,396.88818
0.012,418639.84,-53147.727,-371101.28,468.5945,528.2624,396.88818
0.0125,418493.5,-53992.766,-372406.7,468.5945,528.2624,396.88818
0.013,418297.56,-55398.375,-374264.4,468.5945,528.2624,396.88818
0.0135,418177.88,-56402.066,-375381.28,468.5945,532.7108,396.88818
0.014,418004.47,-57958.953,-376815.03,468.5945,532.7108,396.88818
0.0145,417889.9,-59000.098,-377591.44,468.5945,532.7108,396.88818
0.015,417716.9,-60529.6,-378494.9,468.5945,532.7108,396.88818
0.0155,417605.2,-61513.96,-378951.1,475.41342,532.7108,396.88818
0.016,417451.22,-62935.168,-379491.94,475.41342,532.7108,396.88818
0.0165,417363.0,-63849.684,-379815.2,475.41342,532.7108,396.88818
0.017,417253.75,-65189.305,-380348.2,475.41342,532.7108,396.88818
0.0175,417192.4,-66072.984,-380790.78,475.41342,532.7108,396.88818
