Time, Grid forming inverter (averaged).Controller.P1, Grid forming inverter (averaged)2.Controller.P1, Grid forming inverter (averaged)3.Controller.P1, Grid forming inverter (averaged).Controller.f1, Grid forming inverter (averaged)2.Controller.f1, Grid forming inverter (averaged)3.Controller.f1, measurement4.Three-phase Meter4.POWER_P, measurement5.Three-phase Meter5.POWER_P, measurement6.Three-phase Meter6.POWER_P, Timer
0.25, 2.2513725757598877, 0.0, 0.0, 59.99943923950195, 60.007110595703125, 60.007633209228516, 0.08679603040218353, 0.08689609169960022, 0.08641200512647629, 0.303600013256073
0.5, 4.138329982757568, 0.0, 0.0, 59.99814224243164, 60.000160217285156, 60.000160217285156, 0.186279296875, 0.18663711845874786, 0.18544475734233856, 0.557200014591217
0.75, 2.601754665374756, 0.0, 0.0, 59.997764587402344, 60.000160217285156, 60.000160217285156, 0.10800249129533768, 0.10814212262630463, 0.10752199590206146, 0.8046000003814697
1.0, 0.18745635449886322, 0.0, 0.0, 59.99797058105469, 60.000160217285156, 60.000160217285156, 0.01607617363333702, 0.016104092821478844, 0.016009926795959473, 1.0640000104904175
1.25, 1.957265019416809, 0.0, 0.0, 59.99824142456055, 60.008155822753906, 60.00996017456055, 0.08463086932897568, 0.08479893952608109, 0.08424871414899826, 1.3076000213623047
1.5, 4.862157344818115, 0.0, 0.0, 59.997535705566406, 60.031864166259766, 60.03445816040039, 0.2185336798429489, 0.21886907517910004, 0.21757416427135468, 1.5556000471115112
1.75, 2.3956336975097656, 0.0, -0.0, 59.997314453125, 59.999839782714844, 59.999839782714844, 0.07120552659034729, 0.07135901600122452, 0.07090587168931961, 1.8145999908447266
2.0, 0.25114819407463074, 0.0, 0.0, 59.997581481933594, 60.000160217285156, 60.000160217285156, -0.002516006352379918, -0.002500461181625724, -0.0025001626927405596, 2.0571999549865723
2.25, 1.7496949434280396, 0.0, 0.0, 59.998130798339844, 59.999839782714844, 59.999839782714844, 0.019639266654849052, 0.0197282824665308, 0.01956912875175476, 2.307800054550171
2.5, 6.808805465698242, 0.0, 0.0, 59.997684478759766, 59.999839782714844, 59.999839782714844, 0.09853851050138474, 0.09878701716661453, 0.09811955690383911, 2.559999942779541
2.75, 2.480243444442749, 0.0, 0.0, 59.99738311767578, 59.999839782714844, 60.03931427001953, -0.006573886144906282, -0.006512369029223919, -0.006550572346895933, 2.805000066757202
3.0, 2.2320144176483154, 0.0, 0.0, 59.997596740722656, 59.999839782714844, 59.999839782714844, -0.005927319172769785, -0.0058828359469771385, -0.005904578138142824, 3.0543999671936035
3.25, 1.6562083959579468, 0.0, 0.0, 59.99818420410156, 59.999839782714844, 59.999839782714844, 0.006088834721595049, 0.006142330821603537, 0.006065061315894127, 3.3055999279022217
3.5, 8.264460563659668, 0.0, 0.0, 59.9979248046875, 59.999839782714844, 59.999839782714844, 0.1298687607049942, 0.13008347153663635, 0.12924151122570038, 3.5541999340057373
3.75, 2.566498041152954, 0.0, 0.0, 59.99740982055664, 59.999839782714844, 60.04438400268555, -0.01046348549425602, -0.01037362590432167, -0.010422873310744762, 3.816999912261963
4.0, 2.0615322589874268, 0.0, 0.0, 59.99760055541992, 59.999839782714844, 59.999839782714844, -0.007660541217774153, -0.007593343500047922, -0.007627212908118963, 4.056000232696533
4.25, 1.6643537282943726, 0.0, 0.0, 59.99818420410156, 59.999839782714844, 60.05292892456055, 0.005937133450061083, 0.005980215966701508, 0.00592050701379776, 4.304999828338623
4.5, 5.646169662475586, 0.0, 0.0, 59.998043060302734, 59.999839782714844, 59.999839782714844, 0.13492654263973236, 0.13527873158454895, 0.13417625427246094, 4.556399822235107
4.75, 2.8660011291503906, 0.0, 0.0, 59.99739074707031, 60.03752136230469, 60.061805725097656, -0.00458453269675374, -0.004529655445367098, -0.004564512521028519, 4.803599834442139
5.0, 2.1988072395324707, 0.0, 0.0, 59.997581481933594, 60.04189682006836, 59.999839782714844, -0.006849976256489754, -0.006801617331802845, -0.006820238661020994, 5.054800033569336
5.25, 1.7744625806808472, 0.0, 0.0, 59.9981689453125, 60.044185638427734, 60.08504104614258, 0.010882875882089138, 0.010920479893684387, 0.010843129828572273, 5.303199768066406
