Time, Grid forming inverter (averaged).Controller.P1, Grid forming inverter (averaged)2.Controller.P1, Grid forming inverter (averaged)3.Controller.P1, Grid forming inverter (averaged).Controller.f1, Grid forming inverter (averaged)2.Controller.f1, Grid forming inverter (averaged)3.Controller.f1, measurement4.Three-phase Meter4.POWER_P, measurement5.Three-phase Meter5.POWER_P, measurement6.Three-phase Meter6.POWER_P, Timer
0.25, 2.6776678562164307, 0.0, 0.0, 59.99898910522461, 60.000160217285156, 60.000160217285156, 0.09963449835777283, 0.09977730363607407, 0.09918789565563202, 0.301800012588501
0.5, 2.662396192550659, 0.0, 0.0, 59.035091400146484, 60.000160217285156, 60.000160217285156, 0.09968667477369308, 0.09986139833927155, 0.0992407575249672, 0.5508000254631042
0.75, 2.664576768875122, 0.0, 0.0, 59.034812927246094, 59.999839782714844, 59.999839782714844, 0.09963535517454147, 0.09977485239505768, 0.09919090569019318, 0.8059999942779541
1.0, 2.6981935501098633, 0.0, 0.0, 59.03464889526367, 59.999839782714844, 59.999839782714844, 0.10004227608442307, 0.10020091384649277, 0.09959614276885986, 1.051200032234192
1.25, 2.218567371368408, 0.0, 0.0, 59.588897705078125, 59.999839782714844, 59.999839782714844, 0.09672657400369644, 0.09684233367443085, 0.09629935771226883, 1.2977999448776245
1.5, 2.0971806049346924, 0.0, 0.0, 59.58884048461914, 59.999839782714844, 59.999839782714844, 0.09684500843286514, 0.09700347483158112, 0.09641685336828232, 1.551200032234192
1.75, 2.4764251708984375, 0.0, 0.0, 58.871219635009766, 60.000160217285156, 60.000160217285156, 0.06966820359230042, 0.06976144015789032, 0.0693688690662384, 1.8098000288009644
2.0, 2.0395307540893555, 0.0, 0.0, 58.871238708496094, 59.999839782714844, 59.999839782714844, 0.027270542457699776, 0.02736971341073513, 0.027177933603525162, 2.0515999794006348
2.25, 2.5224671363830566, 0.0, 0.0, 59.45289993286133, 59.999839782714844, 59.999839782714844, 0.014015153981745243, 0.014094127342104912, 0.013841045089066029, 2.3001999855041504
2.5, 1.9072238206863403, 0.0, 0.0, 59.45292282104492, 59.999839782714844, 59.999839782714844, 0.0065915086306631565, 0.006664563436061144, 0.006556462962180376, 2.5481998920440674
2.75, 1.8825126886367798, 0.0, 0.0, 59.937660217285156, 59.999839782714844, 59.999839782714844, 0.0029012183658778667, 0.0029638803098350763, 0.0028852077666670084, 2.8001999855041504
3.0, 2.4930837154388428, -0.0, -0.0, 59.93767166137695, 59.999839782714844, 59.999839782714844, 0.005823928397148848, 0.005904362536966801, 0.005779384635388851, 3.046600103378296
3.25, 1.9435622692108154, 0.0, 0.0, 59.937679290771484, 59.999839782714844, 59.999839782714844, 0.0025602916721254587, 0.0026469575241208076, 0.0025428421795368195, 3.302000045776367
