Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,25041.27,-42896.875,11479.52,479.69955,478.94345,477.5172,0.7416316,0.0073588192,0.82904524,0.010406804,0.465903,0.037572797
0.0005,25040.875,-42858.773,11479.606,479.69955,478.94345,477.10458,0.74106735,0.0070100515,0.8283891,0.0100870645,0.46554974,0.037375763
0.001,25075.246,-42735.14,11505.159,479.69955,478.94345,477.10458,0.74006,0.0067262664,0.8272718,0.009880355,0.4648972,0.037203822
0.0015,25118.768,-42617.273,11534.391,479.69955,478.94345,477.10458,0.739362,0.006717483,0.82652473,0.00994149,0.4644308,0.037188295
0.002,25206.459,-42410.367,11585.274,479.69955,478.94345,477.10458,0.7384162,0.0069704656,0.8255505,0.010315886,0.46377808,0.03731917
0.0025,25272.738,-42267.97,11616.237,479.69955,478.94345,477.10458,0.7379319,0.0072778766,0.82507455,0.010719076,0.4634255,0.0374979
0.003,25368.986,-42074.508,11646.223,479.69955,478.94345,477.10458,0.737506,0.0079049105,0.82471263,0.011460699,0.46308973,0.037864823
0.0035,25422.342,-41973.062,11649.959,479.69955,478.94345,477.10458,0.737457,0.008362397,0.82473,0.011978984,0.46301895,0.0381445
0.004,25474.37,-41881.066,11626.268,479.69955,478.94345,477.10458,0.7377361,0.008999937,0.8251273,0.0126742795,0.46314988,0.03855634
0.0045,25486.166,-41866.51,11591.271,479.69955,478.94345,477.10458,0.7381272,0.009333629,0.8255973,0.013019445,0.46338,0.038791332
0.005,25466.803,-41916.95,11516.819,479.69955,478.94345,477.10458,0.7389219,0.009623409,0.8264912,0.013278597,0.46388158,0.039034832
0.0055,25430.58,-41993.68,11458.763,479.69955,478.94345,477.10458,0.739517,0.009644938,0.8271286,0.013254534,0.46427253,0.039104708
