Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0175,-275973.75,-293090.88,-264479.47,422.37976,296.63235,269.39133,0.9676984,-43.260525,-3.476517,-34.552696,-33.64377,-28.975536
0.018,-282961.03,-299023.84,-272976.84,422.37976,296.63235,269.39133,1.5933144,-44.437008,-3.2065055,-35.778797,-35.068104,-28.700136
0.0185,-293291.97,-307654.22,-285855.72,422.37976,296.63235,269.39133,2.7261775,-46.197453,-2.6220617,-37.650368,-37.21167,-28.228634
0.019,-300119.9,-313253.84,-294536.1,422.37976,296.63235,269.39133,3.6062837,-47.37087,-2.1193986,-38.922337,-38.654617,-27.866077
0.0195,-310297.66,-321432.9,-307612.2,422.37976,296.63235,269.39133,5.0964565,-49.138428,-1.2122746,-40.86498,-40.837166,-27.234621
0.02,-317004.94,-326727.56,-316277.6,422.37976,296.63235,269.39133,6.1914716,-50.320683,-0.51579195,-42.17915,-42.310303,-26.740627
0.0205,-326823.66,-334362.34,-329020.25,422.37976,296.63235,269.39133,7.957301,-52.09204,0.64952415,-44.166405,-44.54096,-25.867813
0.021,-333096.66,-339165.72,-337233.28,422.37976,296.63235,269.39133,9.204674,-53.265232,1.4985425,-45.493355,-46.031784,-25.184301
0.0215,-341884.34,-345744.47,-348934.0,422.37976,296.63235,269.39133,11.158969,-54.993114,2.8688505,-47.4686,-48.24787,-23.992977
0.022,-347209.25,-349584.75,-356210.75,422.37976,296.63235,269.39133,12.506872,-56.11121,3.8422997,-48.764057,-49.697178,-23.082502
0.0225,-354210.44,-354326.28,-366165.4,422.37976,296.63235,269.39133,14.586578,-57.71486,5.387508,-50.656277,-51.795277,-21.550049
0.023,-358131.53,-356718.8,-372080.06,422.37976,296.63235,269.39133,16.008854,-58.721424,6.472798,-51.87446,-53.132427,-20.422743
0.0235,-362773.12,-359065.97,-379778.2,422.37976,296.63235,269.39133,18.193474,-60.12054,8.182678,-53.623184,-55.02187,-18.587893
0.024,-365011.72,-359781.47,-384107.22,510.01028,296.63235,269.39133,19.685457,-60.972904,9.376835,-54.73103,-56.199257,-17.2878
0.0245,-367095.28,-359593.5,-389411.88,510.01028,296.63235,269.39133,21.977554,-62.120895,11.248283,-56.29871,-57.838345,-15.230906
0.025,-367669.22,-358659.16,-392186.75,510.01028,296.63235,269.39133,23.541363,-62.794853,12.5471525,-57.27862,-58.84565,-13.796353
0.0255,-367394.22,-356130.44,-395276.25,510.01028,296.63235,269.39133,25.939697,-63.671257,14.565932,-58.64713,-60.23046,-11.555721
0.026,-366511.16,-353754.94,-396654.62,510.01028,296.63235,269.39133,27.568928,-64.166565,15.953063,-59.48996,-61.06583,-10.006801
0.0265,-364229.88,-349265.7,-397717.4,510.01028,296.63235,269.39133,30.046398,-64.77791,18.082956,-60.64447,-62.182384,-7.6013365
0.027,-362104.22,-345702.66,-397746.0,510.01028,296.63235,269.39133,31.712906,-65.09772,19.52722,-61.336067,-62.83021,-5.9466314
0.0275,-358030.94,-339536.94,-396726.66,510.01028,296.63235,269.39133,34.215473,-65.441635,21.71865,-62.2457,-63.642796,-3.3950603
0.028,-354699.94,-334865.94,-395301.28,510.01028,296.63235,269.39133,35.877716,-65.57836,23.190617,-62.75989,-64.069336,-1.6573803
0.0285,-348724.47,-326954.97,-391959.94,510.01028,296.63235,269.39133,38.34496,-65.631584,25.407534,-63.378983,-64.52981,0.98826015
0.029,-344043.8,-321020.62,-388877.47,510.01028,296.63235,269.39133,39.964535,-65.55887,26.889389,-63.682186,-64.71031,2.7613442
0.0295,-335893.0,-311019.28,-382898.16,510.01028,703.67645,269.39133,42.351433,-65.27385,29.118338,-63.96125,-64.79879,5.413383
0.03,-329651.06,-303576.66,-377983.7,510.01028,703.67645,269.39133,43.914757,-64.95899,30.610764,-64.02663,-64.7386,7.163466
0.0305,-319010.56,-291216.22,-369227.06,510.01028,703.67645,269.39133,46.223083,-64.2917,32.86485,-63.941128,-64.48796,9.732017
0.031,-311053.97,-282185.22,-362498.97,510.01028,703.67645,269.39133,47.740257,-63.71649,34.38127,-63.763336,-64.22444,11.401233
0.0315,-297878.6,-267518.4,-351177.4,510.01028,703.67645,269.39133,49.992954,-62.66147,36.680233,-63.32366,-63.709126,13.831676
0.032,-288336.12,-257058.64,-342887.78,510.01028,703.67645,269.39133,51.483284,-61.83787,38.22928,-62.92304,-63.298607,15.406454
0.0325,-273052.44,-240502.8,-329489.66,510.01028,703.67645,269.39133,53.7081,-60.43944,40.573784,-62.176373,-62.596195,17.70834
0.033,-262335.47,-228996.78,-320000.22,510.01028,703.67645,765.1779,55.182693,-59.40996,42.14565,-61.59093,-62.070732,19.208513
0.0335,-245669.84,-211233.08,-305061.47,510.01028,703.67645,765.1779,57.37488,-57.74407,44.50192,-60.597206,-61.20815,21.429338
0.034,-234266.02,-199161.83,-294698.6,510.01028,703.67645,765.1779,58.813816,-56.563007,46.060703,-59.865116,-60.572266,22.890606
0.0345,-216841.73,-180862.12,-278625.94,510.01028,703.67645,765.1779,60.91937,-54.71349,48.36015,-58.67112,-59.517403,25.06379
0.035,-205052.39,-168593.61,-267577.03,510.01028,703.67645,765.1779,62.273533,-53.433712,49.85465,-57.81308,-58.738144,26.500303
0.0355,-187121.45,-150141.31,-250492.42,510.01028,703.67645,765.1779,64.20547,-51.449398,52.018482,-56.43215,-57.435005,28.618114
0.036,-174990.5,-137802.8,-238736.73,510.01028,703.67645,765.1779,65.41217,-50.084187,53.399525,-55.44654,-56.474205,29.995178
0.0365,-156477.47,-119186.42,-220495.67,510.01028,703.67645,765.1779,67.08499,-47.969364,55.368263,-53.865017,-54.888134,31.984585
0.037,-143883.44,-106661.35,-207902.31,510.01028,703.67645,765.1779,68.10219,-46.508575,56.60836,-52.73809,-53.742092,33.24289
0.0375,-124544.42,-87630.984,-188346.9,510.01028,703.67645,765.1779,69.471825,-44.23468,58.358856,-50.933968,-51.902294,35.012627
0.038,-111327.91,-74752.44,-174882.34,510.01028,703.67645,765.1779,70.284,-42.660656,59.454235,-49.65478,-50.608654,36.104427
0.0385,-91032.14,-55143.53,-154106.23,510.01028,703.67645,765.1779,71.35848,-40.209797,60.994934,-47.62717,-48.59547,37.60851
0.039,-77236.18,-41906.016,-139928.44,510.01028,703.67645,765.1779,71.98522,-38.51931,61.956898,-46.209015,-47.219154,38.526695
0.0395,-56278.164,-21905.377,-118311.234,510.01028,703.67645,765.1779,72.803474,-35.913166,63.3056,-43.996494,-45.116478,39.78714
0.04,-42237.02,-8572.899,-103769.83,510.01028,703.67645,765.1779,73.273636,-34.138165,64.14183,-42.47534,-43.687515,40.55798
0.0405,-21292.334,11219.326,-81956.58,510.01028,703.67645,765.1779,73.86955,-31.44462,65.29776,-40.144623,-41.494484,41.621334
0.041,-7511.9307,24150.742,-67526.734,877.75226,703.67645,765.1779,74.19521,-29.641218,65.99774,-38.57011,-39.99338,42.268158
0.0415,12673.9795,42951.44,-46226.02,877.75226,703.67645,765.1779,74.568306,-26.951838,66.92971,-36.194336,-37.676456,43.144707
0.042,25708.85,54989.76,-32331.516,877.75226,703.67645,765.1779,74.73287,-25.18203,67.46412,-34.60887,-36.080467,43.65576
0.0425,44502.664,72181.164,-12033.023,877.75226,703.67645,765.1779,74.838,-22.578762,68.119316,-32.23661,-33.611027,44.296368
0.043,56482.8,83022.375,1109.8956,877.75226,703.67645,765.1779,74.8022,-20.884134,68.45076,-30.661526,-31.91442,44.627697
0.0435,73627.984,98342.63,20234.695,877.75226,703.67645,765.1779,74.57781,-18.403812,68.77858,-28.30856,-29.313038,44.956074
0.044,84524.73,107953.86,32608.826,877.75226,703.67645,765.1779,74.30702,-16.793848,68.88035,-26.744638,-27.54878,45.06086
0.0445,100125.06,121541.234,50647.516,877.75226,703.67645,765.1779,73.71347,-14.433175,68.85568,-24.401213,-24.88791,45.028854
0.045,110072.36,130102.27,62349.902,877.75226,703.67645,765.1779,73.19424,-12.891041,68.724365,-22.839098,-23.12226,44.88008
0.0455,124387.33,142275.14,79438.9,877.75226,834.52997,765.1779,72.238754,-10.618978,68.3632,-20.494537,-20.513163,44.471954
0.046,133546.03,149970.78,90517.55,877.75226,834.52997,765.1779,71.49095,-9.128189,68.02014,-18.93225,-18.811214,44.086723
0.0465,146728.92,160896.53,106617.05,877.75226,834.52997,765.1779,70.22428,-6.930717,67.365395,-16.596006,-16.334042,43.358425
0.047,155123.28,167744.67,116959.48,877.75226,834.52997,765.1779,69.29475,-5.4927707,66.843254,-15.05023,-14.735218,42.785694
0.0475,167036.58,177278.17,131786.33,877.75226,834.52997,765.1779,67.79165,-3.3899176,65.943115,-12.7644005,-12.41381,41.80917
0.048,174464.17,183076.23,141142.08,877.75226,834.52997,765.1779,66.72856,-2.033586,65.270355,-11.271282,-10.9151325,41.090282
0.0485,184701.56,190814.72,154260.88,877.75226,834.52997,765.1779,65.054634,-0.085138254,64.157745,-9.09362,-8.731017,39.907894
0.049,190839.34,195266.31,162333.88,877.75226,834.52997,765.1779,63.89033,1.1446792,63.348278,-7.6922193,-7.31843,39.050743
0.0495,198895.3,200781.31,173355.31,877.75226,834.52997,829.48663,62.074368,2.8689332,62.03246,-5.679134,-5.2549644,37.661743
0.05,203450.23,203636.77,179941.75,877.75226,834.52997,829.48663,60.81693,3.9301617,61.08658,-4.402576,-3.92244,36.6597
0.0505,209027.3,206651.94,188647.25,877.75226,834.52997,829.48663,58.856903,5.378035,59.564037,-2.5926347,-1.9943659,35.0385
0.051,211910.89,207819.25,193666.34,877.75226,834.52997,829.48663,57.50069,6.2466736,58.47914,-1.4581722,-0.7656978,33.875595
0.0515,215027.08,208359.14,200040.11,877.75226,834.52997,829.48663,55.39063,7.4027987,56.7498,0.13468301,0.97103685,32.012047
