Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0,-19454.45,-61536.168,-25769.398,384.47992,365.53406,347.00793,6.3231063,-1.3923361,-3.7959878,-5.2463202,-0.50841516,-4.139255
0.0005,-19600.074,-62348.86,-25610.264,384.47992,365.53406,347.00793,6.3639407,-1.4658889,-3.8943768,-5.237568,-0.7567529,-4.142003
0.001,-19688.252,-62889.953,-25497.494,384.47992,365.53406,347.00793,6.39262,-1.5153912,-3.960807,-5.2327185,-0.9231429,-4.135852
0.0015,-19798.973,-63681.938,-25309.967,384.47992,365.53406,347.00793,6.436847,-1.589878,-4.0609574,-5.2262373,-1.1729846,-4.113945
0.002,-19852.406,-64183.895,-25166.957,384.47992,365.53406,347.00793,6.4665875,-1.6392618,-4.1274943,-5.2221866,-1.3389236,-4.0905666
0.0025,-19890.66,-64875.207,-24915.77,384.47992,365.53406,347.00793,6.5107527,-1.7120852,-4.225869,-5.216419,-1.5857164,-4.0425606
0.003,-19881.596,-65283.027,-24719.309,384.47992,365.53406,347.00793,6.5397205,-1.7591143,-4.28989,-5.212943,-1.7479563,-4.002047
0.0035,-19804.96,-65799.61,-24377.846,384.47992,365.53406,347.00793,6.582511,-1.8261952,-4.382681,-5.208875,-1.986624,-3.929231
0.004,-19707.316,-66075.016,-24119.982,384.47992,365.53406,347.00793,6.6109586,-1.8679723,-4.442021,-5.2074366,-2.142097,-3.8732212
0.0045,-19489.287,-66381.66,-23693.566,384.47992,365.53406,347.00793,6.6540003,-1.9256201,-4.5270596,-5.2081866,-2.3692093,-3.7792068
0.005,-19299.006,-66518.07,-23387.87,366.5691,365.53406,347.00793,6.6836615,-1.9604645,-4.581174,-5.2112145,-2.5164993,-3.7104626
0.0055,-18956.205,-66634.83,-22907.053,366.5691,365.53406,347.00793,6.730518,-2.007112,-4.659052,-5.2203856,-2.7313633,-3.5991764
0.006,-18697.084,-66666.7,-22577.406,366.5691,365.53406,347.00793,6.7639847,-2.0348763,-4.70929,-5.2298784,-2.8708546,-3.5199695
0.0065,-18276.477,-66672.14,-22079.549,366.5691,365.53406,347.00793,6.8183093,-2.0723257,-4.7831283,-5.2493505,-3.0749927,-3.3937984
0.007,-17982.38,-66663.15,-21751.05,366.5691,365.53406,347.00793,6.8574834,-2.095135,-4.831945,-5.2657156,-3.2080142,-3.3047738
0.0075,-17532.762,-66653.62,-21269.893,366.5691,379.3451,347.00793,6.9206896,-2.1274948,-4.9055285,-5.2946205,-3.403228,-3.1633606
0.008,-17233.398,-66659.21,-20957.041,366.5691,379.3451,347.00793,6.9654484,-2.1484442,-4.955213,-5.316171,-3.5304406,-3.0633729
0.0085,-16791.19,-66693.51,-20494.824,366.5691,379.3451,347.00793,7.0355744,-2.1798785,-5.030994,-5.350728,-3.7164311,-2.9040523
0.009,-16500.264,-66732.94,-20187.215,366.5691,379.3451,347.00793,7.0834737,-2.2012806,-5.0822735,-5.374482,-3.8366587,-2.791244
0.0095,-16061.662,-66806.48,-19716.748,366.5691,379.3451,347.00793,7.1557965,-2.2340868,-5.1597676,-5.4099774,-4.010157,-2.611803
0.01,-15760.634,-66854.4,-19390.072,366.5691,379.3451,347.00793,7.2033997,-2.25629,-5.211281,-5.43301,-4.120417,-2.485405
0.0105,-15283.101,-66899.46,-18868.092,366.5691,379.3451,347.00793,7.2727547,-2.2893023,-5.287131,-5.465989,-4.276293,-2.2862127
0.011,-14939.337,-66895.74,-18492.559,366.5691,379.3451,347.00793,7.317011,-2.3104734,-5.336028,-5.4868693,-4.3730583,-2.1476965
0.0115,-14372.189,-66814.13,-17881.904,366.5691,379.3451,347.00793,7.3800197,-2.3396604,-5.4056654,-5.5169125,-4.5066795,-1.9324775
0.012,-13953.285,-66697.66,-17443.19,366.5691,379.3451,347.00793,7.4198294,-2.3566294,-5.4490485,-5.536534,-4.587744,-1.7850077
0.0125,-13257.858,-66417.625,-16743.309,366.5691,379.3451,347.00793,7.476703,-2.3773594,-5.5090203,-5.5663514,-4.697308,-1.5594419
0.013,-12750.704,-66158.9,-16254.748,366.5691,379.3451,347.00793,7.513358,-2.3875017,-5.5455394,-5.587142,-4.7625885,-1.406879
0.0135,-11934.135,-65670.7,-15501.581,366.5691,379.3451,347.00793,7.5677757,-2.396838,-5.595418,-5.6207666,-4.849598,-1.175959
0.014,-11272.111,-65088.918,-14934.966,366.5691,379.3451,347.00793,7.5583854,-2.3840857,-5.593191,-5.6163373,-4.8709416,-1.0277128
0.0145,-9861.251,-64019.152,-13630.672,366.5691,379.3451,347.00793,7.4328694,-2.3225718,-5.491593,-5.5263653,-4.8111386,-0.8159438
0.015,-8959.291,-63336.54,-12860.173,366.5691,379.3451,347.00793,7.3712635,-2.2830603,-5.431351,-5.4837503,-4.778407,-0.6721574
0.0155,-7659.718,-62220.062,-11940.72,366.5691,379.3451,431.75638,7.294587,-2.2213192,-5.344159,-5.4373484,-4.7305593,-0.45582387
0.016,-6826.9917,-61454.996,-11460.538,366.5691,379.3451,431.75638,7.2534337,-2.1794538,-5.289094,-5.416707,-4.6991396,-0.31053424
0.0165,-5658.6514,-60351.785,-10842.623,366.5691,379.3451,431.75638,7.205226,-2.1173987,-5.2120957,-5.3985043,-4.651357,-0.08993374
0.017,-4956.1416,-59676.31,-10441.085,366.5691,379.3451,431.75638,7.180941,-2.0775838,-5.1646547,-5.393333,-4.618061,0.059392925
0.0175,-4020.81,-58774.523,-9802.247,366.5691,379.3451,431.75638,7.1536555,-2.0212693,-5.098974,-5.3936014,-4.563677,0.28695196
0.018,-3450.1243,-58244.523,-9355.032,366.5691,379.3451,431.75638,7.139944,-1.9862309,-5.0583572,-5.3978744,-4.523143,0.4407659
0.0185,-2606.7244,-57528.848,-8687.988,366.5691,379.3451,431.75638,7.1234717,-1.937697,-5.0010133,-5.4086185,-4.4539986,0.673465
0.019,-2024.9299,-57078.504,-8261.937,366.5691,379.3451,431.75638,7.1139708,-1.9074314,-4.9643564,-5.417839,-4.4015117,0.8289589
0.0195,-1117.9424,-56390.887,-7646.505,366.5691,379.3451,431.75638,7.1004486,-1.8638139,-4.910215,-5.433739,-4.31253,1.0608952
0.02,-505.72452,-55896.99,-7235.4956,366.5691,379.3451,431.75638,7.0913105,-1.8352289,-4.873821,-5.4454103,-4.2463994,1.2135617
