Time,Modbus1.Q_level,Modbus2.Q_level,Modbus3.Q_level,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.0195,403780.03,534203.6,236045.64,373.48453,324.95068,446.35626,41.259274,8.555137,49.314533,1.9814155,-31.907318,-35.81203
0.02,400057.88,532768.4,231035.84,373.48453,324.95068,446.35626,41.74671,7.9644217,49.48683,1.3842654,-31.145918,-34.790493
0.0205,394918.06,531069.44,223524.42,373.48453,324.95068,446.35626,42.55355,7.0319986,49.820847,0.43110132,-30.060343,-33.18725
0.021,391785.8,530205.4,218643.69,373.48453,324.95068,446.35626,43.138363,6.3826623,50.105244,-0.24063417,-29.311924,-32.055626
0.0215,387497.22,529190.2,211609.0,373.48453,324.95068,446.35626,44.0901,5.356318,50.63626,-1.3036392,-28.17363,-30.283792
0.022,384859.1,528714.06,207108.62,373.48453,324.95068,446.35626,44.77468,4.638273,51.061295,-2.0523286,-27.424253,-29.028442
0.0225,381209.34,528270.44,200575.17,373.48453,324.95068,446.35626,45.890797,3.5001915,51.797234,-3.243191,-26.207884,-27.09438
0.023,378930.88,528117.0,196293.75,373.48453,324.95068,446.35626,46.691803,2.689769,52.344612,-4.0850897,-25.370808,-25.693298
0.0235,375666.4,528077.0,189864.34,373.48453,324.95068,446.35626,47.98694,1.3910742,53.233917,-5.4225693,-24.052599,-23.483868
0.024,373537.38,528103.94,185496.77,373.48453,324.95068,446.35626,48.90328,0.4627996,53.863052,-6.3645787,-23.094908,-21.915552
0.0245,370295.22,528130.9,178698.89,373.48453,324.95068,446.35626,50.345726,-1.0267076,54.84416,-7.8545575,-21.589767,-19.416159
0.025,368068.22,528083.8,173945.11,373.48453,324.95068,446.35626,51.340977,-2.0837,55.514664,-8.8981,-20.507004,-17.715422
0.0255,364563.9,527768.0,166445.72,373.48453,324.95068,446.35626,52.8594,-3.7602463,56.528374,-10.534745,-18.846382,-15.0629015
0.026,362099.03,527364.6,161229.44,373.48453,324.95068,446.35626,53.879948,-4.932559,57.202637,-11.668101,-17.687134,-13.280029
0.0265,358174.22,526403.8,153225.84,373.48453,324.95068,446.35626,55.403873,-6.7613125,58.20211,-13.417609,-15.922111,-10.538063
0.027,355386.7,525541.75,147883.3,373.48453,324.95068,446.35626,56.408978,-8.01878,58.856724,-14.607808,-14.778756,-8.741565
0.0275,351013.25,523956.8,140036.19,373.48453,324.95068,446.35626,57.8861,-9.942112,59.81923,-16.41013,-13.025161,-5.991397
0.028,348018.72,522767.6,134990.23,373.48453,324.95068,446.35626,58.849678,-11.243131,60.45091,-17.614393,-11.942665,-4.195986
0.0285,343584.5,520969.8,127756.875,373.48453,324.95068,446.35626,60.261337,-13.197194,61.391804,-19.41466,-10.32795,-1.477402
0.029,340791.16,519857.8,123165.57,373.48453,324.95068,446.35626,61.186134,-14.498764,62.018864,-20.60427,-9.299332,0.34418786
0.0295,337005.72,518556.47,116625.11,373.48453,324.95068,446.35626,62.56371,-16.432257,62.969807,-22.369682,-7.8920436,3.1120133
0.03,334828.12,518053.78,112495.625,373.48453,324.95068,446.35626,63.48281,-17.706776,63.616535,-23.534927,-7.0156107,4.95429
0.0305,332117.66,517986.06,106632.34,373.48453,324.95068,446.35626,64.88279,-19.594687,64.61295,-25.271822,-5.8540664,7.876946
0.031,330684.94,518447.9,102921.67,373.48453,324.95068,505.62253,65.837036,-20.84263,65.29819,-26.426308,-5.170005,9.857277
0.0315,329055.06,519892.9,97580.92,373.48453,324.95068,505.62253,67.311905,-22.7076,66.3605,-28.164062,-4.2676077,13.020216
0.032,328273.12,521291.94,94112.445,373.48453,324.95068,505.62253,68.326614,-23.957968,67.091324,-29.333254,-3.72323,15.170053
0.0325,327417.4,523873.47,88930.03,373.48453,324.95068,505.62253,69.89237,-25.860083,68.21242,-31.116774,-2.9759452,18.60909
0.033,326964.44,525807.0,85426.48,373.48453,324.95068,505.62253,70.963234,-27.1554,68.9706,-32.330467,-2.5097885,20.953974
