Time, Timer, measurement1.Three-phase Meter1.VLn_RMS, measurement2.Three-phase Meter2.VLn_RMS, measurement3.Three-phase Meter3.VLn_RMS
0.25,0.301200002,470.2677307,466.6774292,466.2496643
0.5,0.555599988,469.6739197,466.0874634,465.6602173
0.75,0.805400014,469.7015381,466.1194458,465.6921692
1,1.0546,469.7139282,466.1268005,465.6995544
1.25,1.30400002,469.7201538,466.1317444,465.7045288
1.5,1.554399967,469.7528076,466.1661682,465.7389832
1.75,1.804800034,470.5964355,467.0383301,466.5891724
2,2.05340004,470.0801697,466.6206665,466.1141968
2.25,2.303600073,472.7243958,469.27771,468.7494812
2.5,2.552400112,472.7345886,469.3007202,468.7661133
2.75,2.803200006,472.7497559,469.3152466,468.7781982
3,3.054800034,472.7324219,469.3036804,468.7662048
3.25,3.302999973,472.7528076,469.3215637,468.783844
3.5,3.556600094,472.7649536,469.3320007,468.7941284
3.75,3.80340004,472.7625732,469.3261719,468.7883301
4,4.051400185,472.7827454,469.3462524,468.8082886
4.25,4.304999828,472.8196716,469.3885193,468.8505859
4.5,4.552800179,472.8043823,469.3730469,468.8351135
4.75,4.802400112,472.7702637,469.34021,468.8015442
5,5.055799961,472.8179626,469.3830261,468.8451538
5.25,5.302199841,472.8121033,469.3789673,468.8411255
5.5,5.552800179,472.8117371,469.377533,468.8396912
5.75,5.803199768,472.8187256,469.3876343,468.8497925
6,6.054200172,472.8267517,469.3965149,468.8586731
6.25,6.300600052,472.8262329,469.3942871,468.8564148
6.5,6.55340004,472.8124695,469.380188,468.8422546
6.75,6.804800034,472.8271484,469.393158,468.8552246
7,7.052599907,472.8199463,469.385376,468.8473816
7.25,7.304999828,472.8457336,469.4128723,468.8748779
7.5,7.553599834,472.8235779,469.3895264,468.8515625
7.75,7.801400185,472.8360901,469.4015198,468.8635864
8,8.054200172,472.8334351,469.4024353,468.8644409
8.25,8.302599907,472.8314209,469.397522,468.8597107
8.5,8.552399635,472.8372498,469.40271,468.863678
8.75,8.801400185,472.8162842,469.3858643,468.848053
9,9.051799774,472.8114929,469.3790894,468.8412781
9.25,9.301400185,472.8067627,469.3738098,468.8360291
9.5,9.555399895,472.8439026,469.4091187,468.8712463
9.75,9.803199768,472.8512573,469.4189148,468.881012
10,10.05480003,472.8338318,469.4016113,468.8637085
10.25,10.30300045,472.824646,469.3930969,468.8552551
10.5,10.55480003,472.8389282,469.4110413,468.8730469
10.75,10.80480003,472.7879639,469.3596802,468.8217468
11,11.05259991,472.8239441,469.3928833,468.8549194
11.25,11.30440044,472.8554382,469.4224243,468.8844299
11.5,11.55440044,472.8137817,469.3812561,468.8433228
11.75,11.80099964,472.8268738,469.3978271,468.8599548
12,12.0539999,472.8445129,469.4116516,468.8737488
12.25,12.30360031,472.8575134,469.4242554,468.8864136
12.5,12.55379963,472.8327942,469.3980713,468.860199
12.75,12.80739975,472.8289185,469.3960266,468.8582458
13,13.05539989,472.8226929,469.3890686,468.8512268
13.25,13.30099964,472.8341064,469.401123,468.8632813
13.5,13.55440044,472.8078918,469.3723145,468.8344727
13.75,13.80179977,472.8082581,469.3736572,468.8357849
14,14.05379963,472.793396,469.3610535,468.8231201
14.25,14.30140018,472.8421021,469.4105225,468.8712463
14.5,14.55220032,472.7862854,469.3547058,468.8167419
14.75,14.80259991,472.8320007,469.4013672,468.8634033
15,15.0564003,472.7861938,469.353241,468.8139343
15.25,15.30160046,472.7939453,469.3660278,468.8281555
15.5,15.55440044,472.7972717,469.3661499,468.8282471
15.75,15.80179977,472.7923584,469.3617554,468.8239746
16,16.05520058,472.8083801,469.3735046,468.8357239
16.25,16.30459976,472.7809753,469.3479919,468.8102722
16.5,16.55439949,472.8267517,469.3927002,468.8548584
16.75,16.80340004,472.8110046,469.3792725,468.8414612
17,17.05540085,472.8024597,469.3690491,468.8311768
17.25,17.30080032,472.7919006,469.3620605,468.8242188
17.5,17.55500031,472.7683411,469.3357849,468.7978516
17.75,17.80540085,472.8318481,469.4024658,468.864563
18,18.05319977,472.7926941,469.3632202,468.8252258
18.25,18.30120087,472.7818909,469.3509521,468.8129578
18.5,18.55360031,472.8002014,469.3730164,468.8350525
18.75,18.80200005,472.8218079,469.3898621,468.8519287
19,19.05319977,472.7829285,469.3500061,468.8121338
19.25,19.30220032,472.8002014,469.3738708,468.8360291
19.5,19.55360031,472.769989,469.3378296,468.8000183
19.75,19.80279922,472.7860107,469.3557434,468.8179626
20,20.05500031,472.7752075,469.3416748,468.8038635
20.25,20.30319977,472.774353,469.3462219,468.8084412
20.5,20.55240059,472.7787476,469.3491821,468.8113098
20.75,20.80559921,472.7969055,469.3620605,468.8241577
21,21.05419922,472.7810669,469.3537292,468.8158264
21.25,21.30319977,472.7927856,469.3632507,468.8253174
21.5,21.55459976,472.7085266,469.2767639,468.7401123
21.75,21.80340004,472.7805176,469.3471375,468.8092041
22,22.05419922,472.7553711,469.3270874,468.7891541
22.25,22.30139923,472.7600403,469.3259583,468.7881165
22.5,22.55120087,472.7688904,469.3380127,468.8001404
22.75,22.80319977,476.4280701,474.4326477,472.434021
23,23.05340004,475.9436951,475.0862122,471.9632568
23.25,23.30340004,475.809082,475.3096313,471.8279724
23.5,23.55540085,475.7430115,475.3077698,471.7614746
23.75,23.8015995,475.7740479,475.318634,471.7932434
24,24.05419922,475.763092,475.2863464,471.7792969
24.25,24.3015995,475.8245544,475.3620605,471.8435364
24.5,24.55459976,475.7606201,475.3323364,471.7779236
24.75,24.80319977,475.7232361,475.3439636,471.7405701
25,25.05520058,475.7121887,475.3789673,471.728241
25.25,25.30500031,475.648407,475.3663635,471.6687927
25.5,25.55360031,475.6340637,475.384491,471.6487732
25.75,25.80500031,475.6354065,475.4237366,471.6552429
26,26.05520058,475.4356079,475.596344,471.4534607
26.25,26.30260086,475.3477478,475.7915649,471.3666687
26.5,26.55279922,475.2434998,475.8179932,471.2675476
