Time, Timer, measurement1.Three-phase Meter1.VLn_RMS, measurement2.Three-phase Meter2.VLn_RMS, measurement3.Three-phase Meter3.VLn_RMS
0.25, 0.3025999963283539, 470.3077697753906, 466.7152404785156, 466.2874755859375
0.5, 0.5529999732971191, 469.6951599121094, 466.10833740234375, 465.6811218261719
0.75, 0.8040000200271606, 469.7025451660156, 466.114013671875, 465.6867980957031
1.0, 1.0582000017166138, 469.7064208984375, 466.1207275390625, 465.6935119628906
1.25, 1.3015999794006348, 469.73297119140625, 466.14453125, 465.7173156738281
1.5, 1.561400055885315, 469.7408447265625, 466.152587890625, 465.7254333496094
1.75, 1.806399941444397, 470.5641784667969, 467.0306396484375, 466.56097412109375
2.0, 2.0666000843048096, 470.2256774902344, 466.7790222167969, 466.2618103027344
2.25, 2.327399969100952, 470.0647277832031, 466.6406555175781, 466.113525390625
2.5, 2.5797998905181885, 470.0011291503906, 466.5863037109375, 466.0542907714844
2.75, 2.819200038909912, 470.00848388671875, 466.59490966796875, 466.0611267089844
3.0, 3.06820011138916, 470.0013732910156, 466.5893859863281, 466.0550537109375
3.25, 3.330399990081787, 470.02056884765625, 466.6061706542969, 466.07177734375
3.5, 3.579200029373169, 470.0038757324219, 466.59210205078125, 466.0575866699219
3.75, 3.821199893951416, 470.0246887207031, 466.6109619140625, 466.07635498046875
4.0, 4.083199977874756, 470.01739501953125, 466.6051025390625, 466.0704650878906
4.25, 4.333000183105469, 470.02471923828125, 466.60968017578125, 466.0750732421875
4.5, 4.5879998207092285, 470.0450134277344, 466.630126953125, 466.095458984375
4.75, 4.8358001708984375, 470.0362854003906, 466.62384033203125, 466.0892333984375
5.0, 5.089799880981445, 470.0139465332031, 466.6028747558594, 466.0682678222656
5.25, 5.332600116729736, 470.04364013671875, 466.6311340332031, 466.09661865234375
5.5, 5.585999965667725, 470.04150390625, 466.63037109375, 466.0958557128906
5.75, 5.8429999351501465, 470.0444030761719, 466.6307373046875, 466.0962829589844
6.0, 6.091000080108643, 470.0343933105469, 466.62152099609375, 466.08697509765625
6.25, 6.334000110626221, 470.0365905761719, 466.62371826171875, 466.0892333984375
6.5, 6.588799953460693, 470.0423889160156, 466.6313171386719, 466.0968322753906
6.75, 6.8379998207092285, 470.0736083984375, 466.6621398925781, 466.12762451171875
7.0, 7.091800212860107, 470.0479736328125, 466.6354064941406, 466.100830078125
7.25, 7.340199947357178, 470.068115234375, 466.6565856933594, 466.1220397949219
7.5, 7.584400177001953, 470.0615539550781, 466.64813232421875, 466.1134948730469
7.75, 7.833399772644043, 470.08721923828125, 466.6743469238281, 466.13970947265625
8.0, 8.083600044250488, 470.0908508300781, 466.6783142089844, 466.1436767578125
8.25, 8.34160041809082, 470.09161376953125, 466.6784362792969, 466.14385986328125
8.5, 8.585800170898438, 470.09808349609375, 466.6849060058594, 466.1502990722656
8.75, 8.840399742126465, 470.0838623046875, 466.671142578125, 466.1365966796875
9.0, 9.086600303649902, 470.0599670410156, 466.6473388671875, 466.11279296875
9.25, 9.332599639892578, 470.0705261230469, 466.6578063964844, 466.12335205078125
9.5, 9.586799621582031, 470.0458679199219, 466.6335144042969, 466.0989990234375
9.75, 9.838600158691406, 470.0916748046875, 466.6788024902344, 466.14434814453125
10.0, 10.085000038146973, 470.0941467285156, 466.6812438964844, 466.146728515625
10.25, 10.340200424194336, 470.09844970703125, 466.68621826171875, 466.1517028808594
10.5, 10.584199905395508, 470.0771484375, 466.66436767578125, 466.1298522949219
10.75, 10.838600158691406, 470.0915832519531, 466.6793212890625, 466.144775390625
11.0, 11.088399887084961, 470.10345458984375, 466.6904296875, 466.15582275390625
11.25, 11.332599639892578, 470.1148986816406, 466.70074462890625, 466.1661071777344
11.5, 11.59220027923584, 470.0896301269531, 466.6768798828125, 466.1422424316406
11.75, 11.838800430297852, 470.1026306152344, 466.6897277832031, 466.15509033203125
12.0, 12.083800315856934, 470.1274108886719, 466.715576171875, 466.1809387207031
12.25, 12.340399742126465, 470.1168212890625, 466.7037658691406, 466.169189453125
12.5, 12.590800285339355, 470.0973205566406, 466.6843566894531, 466.1497802734375
12.75, 12.833999633789062, 470.0716552734375, 466.65802001953125, 466.1235046386719
13.0, 13.129199981689453, 470.0986328125, 466.6856689453125, 466.1510925292969
13.25, 13.335800170898438, 470.0729675292969, 466.660400390625, 466.1259765625
13.5, 13.584600448608398, 470.0826416015625, 466.67108154296875, 466.1365661621094
13.75, 13.835000038146973, 470.0975036621094, 466.6845703125, 466.15008544921875
14.0, 14.083000183105469, 470.0881652832031, 466.67529296875, 466.140380859375
14.25, 14.335200309753418, 470.1101379394531, 466.69708251953125, 466.1624755859375
14.5, 14.584400177001953, 470.1111755371094, 466.69708251953125, 466.16241455078125
14.75, 14.832200050354004, 470.1124267578125, 466.6994934082031, 466.164794921875
15.0, 15.083999633789062, 470.0799255371094, 466.667236328125, 466.1325378417969
15.25, 15.33240032196045, 470.1138610839844, 466.7003479003906, 466.16558837890625
15.5, 15.584400177001953, 470.0887451171875, 466.6745300292969, 466.1398620605469
15.75, 15.832799911499023, 470.09722900390625, 466.6843566894531, 466.1497802734375
16.0, 16.084400177001953, 470.1055908203125, 466.6925048828125, 466.1578674316406
16.25, 16.335800170898438, 470.148681640625, 466.7364196777344, 466.2018737792969
16.5, 16.585599899291992, 470.0890808105469, 466.67633056640625, 466.1418151855469
16.75, 16.832000732421875, 470.0971984863281, 466.6842346191406, 466.1496887207031
17.0, 17.083999633789062, 470.10723876953125, 466.6943359375, 466.1597595214844
17.25, 17.3346004486084, 470.1220703125, 466.7088623046875, 466.17425537109375
17.5, 17.585399627685547, 470.0923767089844, 466.6795959472656, 466.14495849609375
17.75, 17.832199096679688, 470.110107421875, 466.6971130371094, 466.1624450683594
18.0, 18.082000732421875, 470.10650634765625, 466.6941223144531, 466.159423828125
18.25, 18.333599090576172, 470.09991455078125, 466.68841552734375, 466.1536865234375
18.5, 18.5846004486084, 470.10345458984375, 466.6906433105469, 466.1559143066406
18.75, 18.833999633789062, 470.1016845703125, 466.68927001953125, 466.154541015625
19.0, 19.083599090576172, 470.0973815917969, 466.6845397949219, 466.1498107910156
19.25, 19.333999633789062, 470.0953063964844, 466.68243408203125, 466.1477966308594
19.5, 19.585399627685547, 470.5614318847656, 467.1492004394531, 466.6136474609375
19.75, 19.834199905395508, 470.80157470703125, 467.3935852050781, 466.85504150390625
20.0, 20.083999633789062, 470.7417297363281, 467.32562255859375, 466.7913818359375
20.25, 20.334999084472656, 470.77679443359375, 467.35882568359375, 466.8252258300781
20.5, 20.582399368286133, 470.783447265625, 467.36767578125, 466.8338928222656
20.75, 20.832599639892578, 470.7784118652344, 467.361083984375, 466.8271789550781
21.0, 21.083799362182617, 470.76629638671875, 467.3492736816406, 466.8153381347656
21.25, 21.336200714111328, 470.7552185058594, 467.3382263183594, 466.8044128417969
21.5, 21.583799362182617, 470.79571533203125, 467.3780822753906, 466.8442077636719
21.75, 21.83340072631836, 470.8033142089844, 467.3858337402344, 466.8519287109375
22.0, 22.08300018310547, 470.76153564453125, 467.3443298339844, 466.8104248046875
22.25, 22.334999084472656, 470.7715759277344, 467.3529968261719, 466.81915283203125
22.5, 22.58300018310547, 470.767822265625, 467.3479919433594, 466.81414794921875
22.75, 22.832599639892578, 470.7695007324219, 467.3525695800781, 466.81878662109375
23.0, 23.083799362182617, 470.754638671875, 467.3375244140625, 466.8036804199219
23.25, 23.333799362182617, 470.7896423339844, 467.37042236328125, 466.83599853515625
