Time, Timer, measurement1.Three-phase Meter1.VLn_RMS, measurement2.Three-phase Meter2.VLn_RMS, measurement3.Three-phase Meter3.VLn_RMS
0.25, 0.30300000309944153, 470.305419921875, 466.7122802734375, 466.2845153808594
0.5, 0.557200014591217, 469.6556396484375, 466.0707702636719, 465.6434631347656
0.75, 0.8154000043869019, 469.702880859375, 466.1142272949219, 465.68695068359375
1.0, 1.0598000288009644, 469.69775390625, 466.1085510253906, 465.68121337890625
1.25, 1.319599986076355, 469.75335693359375, 466.16192626953125, 465.7344970703125
1.5, 1.5764000415802002, 469.67742919921875, 466.0894470214844, 465.66217041015625
1.75, 1.8259999752044678, 470.9773864746094, 467.44561767578125, 466.97882080078125
2.0, 2.069200038909912, 470.1924743652344, 466.7480773925781, 466.2296447753906
2.25, 2.3255999088287354, 470.06134033203125, 466.6365661621094, 466.10919189453125
2.5, 2.5748000144958496, 469.9924011230469, 466.57672119140625, 466.04400634765625
2.75, 2.827399969100952, 470.0340881347656, 466.61932373046875, 466.0853271484375
3.0, 3.0725998878479004, 469.9930725097656, 466.58050537109375, 466.0460205078125
3.25, 3.3278000354766846, 470.0071105957031, 466.5944519042969, 466.05975341796875
3.5, 3.5757999420166016, 469.95770263671875, 466.54351806640625, 466.0087890625
3.75, 3.8208000659942627, 470.0410461425781, 466.62530517578125, 466.0904235839844
4.0, 4.0706000328063965, 470.0367736816406, 466.62054443359375, 466.0856628417969
4.25, 4.321199893951416, 470.0301818847656, 466.6153564453125, 466.08050537109375
4.5, 4.576600074768066, 470.0909423828125, 466.6788635253906, 466.1439208984375
4.75, 4.821199893951416, 470.0545349121094, 466.6375427246094, 466.1026611328125
5.0, 5.070199966430664, 470.0250244140625, 466.6073913574219, 466.0726623535156
5.25, 5.321199893951416, 470.04656982421875, 466.63519287109375, 466.10040283203125
5.5, 5.578999996185303, 470.0562744140625, 466.6376647949219, 466.10284423828125
5.75, 5.8267998695373535, 470.0421447753906, 466.6319580078125, 466.09722900390625
6.0, 6.078000068664551, 470.0349426269531, 466.6192932128906, 466.0845642089844
6.25, 6.328000068664551, 470.0612487792969, 466.6459045410156, 466.1111755371094
6.5, 6.5777997970581055, 470.0215148925781, 466.6073303222656, 466.0726013183594
6.75, 6.824399948120117, 470.0521545410156, 466.63836669921875, 466.103515625
7.0, 7.077400207519531, 470.08782958984375, 466.67205810546875, 466.13720703125
7.25, 7.3267998695373535, 470.0953063964844, 466.6824645996094, 466.14752197265625
7.5, 7.569799900054932, 470.0715026855469, 466.65576171875, 466.120849609375
7.75, 7.8196001052856445, 470.07257080078125, 466.6572265625, 466.122314453125
8.0, 8.06879997253418, 470.0841064453125, 466.664794921875, 466.1299133300781
8.25, 8.324399948120117, 470.0515441894531, 466.6377868652344, 466.1028747558594
8.5, 8.570599555969238, 470.0580749511719, 466.64483642578125, 466.1100158691406
8.75, 8.822199821472168, 470.07232666015625, 466.6569519042969, 466.12213134765625
9.0, 9.06980037689209, 470.1716613769531, 466.7553405761719, 466.2204284667969
9.25, 9.3193998336792, 470.08184814453125, 466.6652526855469, 466.1304931640625
9.5, 9.572199821472168, 470.0816345214844, 466.6716003417969, 466.1368408203125
9.75, 9.823599815368652, 470.105224609375, 466.68890380859375, 466.1541442871094
10.0, 10.070599555969238, 470.1130065917969, 466.698974609375, 466.1641845703125
10.25, 10.320199966430664, 470.0954284667969, 466.6820983886719, 466.1473083496094
10.5, 10.569999694824219, 470.08050537109375, 466.6645812988281, 466.1297607421875
10.75, 10.8193998336792, 470.10382080078125, 466.692138671875, 466.1573486328125
11.0, 11.071200370788574, 470.0931396484375, 466.6775207519531, 466.14263916015625
11.25, 11.319999694824219, 470.09014892578125, 466.6791687011719, 466.1442565917969
11.5, 11.571200370788574, 470.0946044921875, 466.6816711425781, 466.1468200683594
11.75, 11.818400382995605, 470.1141052246094, 466.7004699707031, 466.16558837890625
12.0, 12.069000244140625, 470.1177062988281, 466.7063293457031, 466.1714782714844
12.25, 12.321200370788574, 470.1058654785156, 466.69329833984375, 466.158447265625
12.5, 12.569999694824219, 470.06060791015625, 466.6481628417969, 466.1134033203125
12.75, 12.81879997253418, 470.08709716796875, 466.670654296875, 466.1358642578125
13.0, 13.071599960327148, 470.08477783203125, 466.6718444824219, 466.1370544433594
13.25, 13.319999694824219, 470.0798645019531, 466.66766357421875, 466.13287353515625
13.5, 13.56980037689209, 470.1204528808594, 466.7073059082031, 466.1724548339844
13.75, 13.821399688720703, 470.08807373046875, 466.67572021484375, 466.1408996582031
14.0, 14.071999549865723, 470.080322265625, 466.6653137207031, 466.1304626464844
14.25, 14.320599555969238, 470.0823669433594, 466.6739807128906, 466.1390686035156
14.5, 14.56980037689209, 470.12628173828125, 466.7122497558594, 466.17730712890625
14.75, 14.81980037689209, 470.1242980957031, 466.7113952636719, 466.1764831542969
15.0, 15.079400062561035, 470.12335205078125, 466.7078857421875, 466.17303466796875
15.25, 15.319600105285645, 470.1141662597656, 466.70306396484375, 466.16815185546875
15.5, 15.571800231933594, 470.14837646484375, 466.73516845703125, 466.2002868652344
15.75, 15.819000244140625, 470.1662902832031, 466.75262451171875, 466.21771240234375
16.0, 16.070999145507812, 470.14349365234375, 466.7315368652344, 466.1966552734375
16.25, 16.31800079345703, 470.1042785644531, 466.69219970703125, 466.1573486328125
16.5, 16.569000244140625, 470.1429138183594, 466.7301940917969, 466.1954040527344
16.75, 16.81999969482422, 470.1518249511719, 466.7375793457031, 466.20269775390625
17.0, 17.077600479125977, 470.0976867675781, 466.68609619140625, 466.1513366699219
17.25, 17.318199157714844, 470.798583984375, 467.396484375, 466.8561706542969
17.5, 17.56920051574707, 470.7729187011719, 467.35968017578125, 466.82696533203125
