Time, Timer, measurement1.Three-phase Meter1.VLn_RMS, measurement2.Three-phase Meter2.VLn_RMS, measurement3.Three-phase Meter3.VLn_RMS
0.25, 0.30720001459121704, 470.6767272949219, 467.0821228027344, 466.6540222167969
0.5, 0.5598000288009644, 469.68646240234375, 466.0994873046875, 465.672119140625
0.75, 0.8009999990463257, 468.76708984375, 465.1872863769531, 464.7606506347656
1.0, 1.05239999294281, 468.78375244140625, 465.20367431640625, 464.7771911621094
1.25, 1.301800012588501, 470.639404296875, 467.04522705078125, 466.6170349121094
1.5, 1.5570000410079956, 470.598388671875, 467.00439453125, 466.57623291015625
1.75, 1.809000015258789, 471.4502258300781, 467.90777587890625, 467.43707275390625
2.0, 2.0522000789642334, 470.9947509765625, 467.5287780761719, 467.0212707519531
2.25, 2.309000015258789, 470.95355224609375, 467.521728515625, 466.9925842285156
2.5, 2.559799909591675, 470.93975830078125, 467.5157775878906, 466.9832763671875
2.75, 2.809000015258789, 470.89019775390625, 467.4699401855469, 466.9350891113281
3.0, 3.053999900817871, 470.9657897949219, 467.54608154296875, 467.0107421875
3.25, 3.3015999794006348, 470.96295166015625, 467.5434265136719, 467.0079040527344
3.5, 3.553800106048584, 470.89739990234375, 467.47845458984375, 466.9426574707031
3.75, 3.8071999549865723, 470.912353515625, 467.4929504394531, 466.957275390625
4.0, 4.057400226593018, 470.9394226074219, 467.5203552246094, 466.98468017578125
4.25, 4.308800220489502, 470.96185302734375, 467.5425720214844, 467.00677490234375
4.5, 4.559800148010254, 470.9701232910156, 467.5486755371094, 467.0130310058594
4.75, 4.808800220489502, 470.93524169921875, 467.51605224609375, 466.9804382324219
5.0, 5.052000045776367, 470.9249572753906, 467.5057373046875, 466.9701232910156
5.25, 5.309999942779541, 470.9925537109375, 467.5730285644531, 467.037353515625
5.5, 5.557400226593018, 470.9815368652344, 467.56219482421875, 467.0265197753906
5.75, 5.809999942779541, 470.9546813964844, 467.5354919433594, 466.9999694824219
6.0, 6.060800075531006, 470.91973876953125, 467.50091552734375, 466.9652404785156
6.25, 6.307600021362305, 470.9451904296875, 467.5274658203125, 466.99188232421875
6.5, 6.560999870300293, 470.979736328125, 467.5606689453125, 467.02490234375
6.75, 6.808800220489502, 471.0342712402344, 467.61456298828125, 467.0787353515625
7.0, 7.051799774169922, 470.9515380859375, 467.53240966796875, 466.99664306640625
7.25, 7.303999900817871, 470.98870849609375, 467.56927490234375, 467.0334167480469
7.5, 7.557000160217285, 470.9338684082031, 467.51495361328125, 466.9790954589844
7.75, 7.802199840545654, 470.9718933105469, 467.5516357421875, 467.01580810546875
8.0, 8.056599617004395, 470.9898986816406, 467.5703430175781, 467.0344543457031
8.25, 8.303999900817871, 470.9570007324219, 467.537841796875, 467.0021057128906
8.5, 8.552000045776367, 471.00115966796875, 467.58184814453125, 467.0458679199219
8.75, 8.810199737548828, 471.0496826171875, 467.6299133300781, 467.09405517578125
9.0, 9.061200141906738, 471.0677185058594, 467.6476745605469, 467.1119689941406
9.25, 9.309800148010254, 471.0035095214844, 467.5839538574219, 467.0481872558594
9.5, 9.559200286865234, 471.0375671386719, 467.61767578125, 467.0819091796875
9.75, 9.801199913024902, 471.0069885253906, 467.5876159667969, 467.05181884765625
10.0, 10.053199768066406, 471.0169677734375, 467.59710693359375, 467.0613098144531
10.25, 10.309000015258789, 471.0165100097656, 467.5968322753906, 467.0610046386719
10.5, 10.551799774169922, 471.0353088378906, 467.615478515625, 467.0797119140625
10.75, 10.80739974975586, 470.984130859375, 467.564697265625, 467.02886962890625
11.0, 11.057999610900879, 470.9898376464844, 467.5704650878906, 467.0346374511719
11.25, 11.310799598693848, 470.9909973144531, 467.57000732421875, 467.0355224609375
11.5, 11.559200286865234, 471.0122985839844, 467.5927429199219, 467.0569152832031
11.75, 11.810199737548828, 470.98199462890625, 467.558837890625, 467.0230712890625
12.0, 12.051199913024902, 471.0217590332031, 467.60211181640625, 467.0661926269531
12.25, 12.30620002746582, 470.98284912109375, 467.5636291503906, 467.0279235839844
12.5, 12.553000450134277, 471.00390625, 467.5842590332031, 467.04852294921875
12.75, 12.801199913024902, 471.02227783203125, 467.6026611328125, 467.06683349609375
13.0, 13.058199882507324, 470.9964294433594, 467.57708740234375, 467.04132080078125
13.25, 13.306400299072266, 471.02471923828125, 467.6051330566406, 467.0693664550781
13.5, 13.560799598693848, 470.9464416503906, 467.52740478515625, 466.99163818359375
13.75, 13.8100004196167, 470.96533203125, 467.5461120605469, 467.01025390625
14.0, 14.052000045776367, 470.92474365234375, 467.5057067871094, 466.971435546875
14.25, 14.302200317382812, 471.0160217285156, 467.5962219238281, 467.0604553222656
14.5, 14.561800003051758, 471.0143127441406, 467.5960998535156, 467.0601806640625
14.75, 14.802800178527832, 471.0138244628906, 467.59429931640625, 467.0585021972656
15.0, 15.059599876403809, 471.0011901855469, 467.58160400390625, 467.0457763671875
15.25, 15.30780029296875, 471.0758056640625, 467.6556396484375, 467.1197814941406
15.5, 15.560400009155273, 471.00543212890625, 467.5858459472656, 467.0499572753906
15.75, 15.807600021362305, 471.0341491699219, 467.6144714355469, 467.0786437988281
16.0, 16.06060028076172, 471.0162048339844, 467.5965576171875, 467.0607604980469
16.25, 16.301799774169922, 470.9905700683594, 467.5762939453125, 467.04071044921875
16.5, 16.55739974975586, 471.01025390625, 467.5906677246094, 467.0550231933594
16.75, 16.803600311279297, 470.96112060546875, 467.5419006347656, 467.0061950683594
17.0, 17.05780029296875, 470.9903869628906, 467.5709228515625, 467.03515625
17.25, 17.30660057067871, 471.0005798339844, 467.5809631347656, 467.0452575683594
17.5, 17.559200286865234, 470.9971618652344, 467.57794189453125, 467.0421142578125
17.75, 17.808399200439453, 471.04443359375, 467.6245422363281, 467.0887451171875
18.0, 18.06060028076172, 471.033935546875, 467.61431884765625, 467.07843017578125
18.25, 18.303600311279297, 471.0256652832031, 467.60638427734375, 467.0705871582031
18.5, 18.55299949645996, 470.9272155761719, 467.510009765625, 466.9743957519531
18.75, 18.80739974975586, 471.04058837890625, 467.62078857421875, 467.0849304199219
19.0, 19.060199737548828, 471.0609130859375, 467.64068603515625, 467.1047668457031
19.25, 19.30739974975586, 471.0099182128906, 467.5903015136719, 467.05450439453125
19.5, 19.55820083618164, 470.9533386230469, 467.5343933105469, 466.9986877441406
19.75, 19.810199737548828, 471.04833984375, 467.62945556640625, 467.0936584472656
20.0, 20.05940055847168, 470.9863586425781, 467.56707763671875, 467.0313720703125
20.25, 20.308799743652344, 471.0479736328125, 467.6280822753906, 467.0924072265625
20.5, 20.552000045776367, 470.9974670410156, 467.57763671875, 467.04180908203125
20.75, 20.80139923095703, 470.96197509765625, 467.54217529296875, 467.00634765625
21.0, 21.05139923095703, 471.0129699707031, 467.5931396484375, 467.05731201171875
21.25, 21.306400299072266, 470.9913330078125, 467.5719299316406, 467.0361328125
21.5, 21.554800033569336, 471.021728515625, 467.6022644042969, 467.0663757324219
21.75, 21.80739974975586, 471.0269470214844, 467.607177734375, 467.07135009765625
22.0, 22.056800842285156, 471.0573425292969, 467.6375427246094, 467.1016540527344
22.25, 22.309999465942383, 471.06951904296875, 467.6494140625, 467.113525390625
22.5, 22.55739974975586, 471.0984191894531, 467.6783447265625, 467.1424560546875
22.75, 22.800199508666992, 477.548828125, 475.1370849609375, 473.5454406738281
23.0, 23.052000045776367, 475.5094299316406, 475.00189208984375, 471.53094482421875
23.25, 23.305599212646484, 474.9431457519531, 475.1668701171875, 470.97027587890625
23.5, 23.560400009155273, 474.86895751953125, 475.2994079589844, 470.8976135253906
23.75, 23.809999465942383, 474.9347839355469, 475.48992919921875, 470.9629821777344
24.0, 24.05660057067871, 474.9490966796875, 475.5450744628906, 470.977294921875
24.25, 24.301000595092773, 475.1125183105469, 475.78863525390625, 471.1393737792969
24.5, 24.552000045776367, 475.0194091796875, 475.7721252441406, 471.0469055175781
24.75, 24.8085994720459, 474.9948425292969, 475.790771484375, 471.022705078125
25.0, 25.05699920654297, 474.9940185546875, 475.81231689453125, 471.0218505859375
25.25, 25.302400588989258, 475.1014709472656, 475.9405517578125, 471.1282653808594
25.5, 25.55940055847168, 475.0241394042969, 475.8879089355469, 471.0517272949219
25.75, 25.800800323486328, 475.02142333984375, 475.8976745605469, 471.0489501953125
26.0, 26.05139923095703, 475.0258483886719, 475.9064025878906, 471.0532531738281
26.25, 26.30419921875, 474.99481201171875, 475.874755859375, 471.0227966308594
26.5, 26.551599502563477, 474.9430236816406, 475.81829833984375, 470.97125244140625
26.75, 26.809999465942383, 475.04010009765625, 475.90447998046875, 471.0674743652344
27.0, 27.051799774169922, 475.07666015625, 475.94439697265625, 471.10406494140625
27.25, 27.310199737548828, 475.10723876953125, 475.9796142578125, 471.1341247558594
27.5, 27.55699920654297, 475.1492919921875, 476.0243835449219, 471.17620849609375
27.75, 27.807199478149414, 475.0563659667969, 475.9274597167969, 471.083984375
28.0, 28.05820083618164, 475.09197998046875, 475.961181640625, 471.1194763183594
28.25, 28.300800323486328, 475.0379333496094, 475.89227294921875, 471.0655517578125
28.5, 28.5585994720459, 475.0352783203125, 475.88006591796875, 471.06317138671875
28.75, 28.80900001525879, 475.0616149902344, 475.91363525390625, 471.08905029296875
29.0, 29.061399459838867, 475.076416015625, 475.9319152832031, 471.1037292480469
