Time, Timer, measurement1.Three-phase Meter1.VLn_RMS, measurement2.Three-phase Meter2.VLn_RMS, measurement3.Three-phase Meter3.VLn_RMS
0.25, 0.29660001397132874, 470.6278991699219, 467.0314025878906, 466.6034240722656
0.5, 0.5491999983787537, 469.80645751953125, 466.21868896484375, 465.7915344238281
0.75, 0.7997999787330627, 469.6908264160156, 466.10345458984375, 465.6763000488281
1.0, 1.0496000051498413, 470.3309020996094, 466.74072265625, 466.31304931640625
1.25, 1.2965999841690063, 470.3861999511719, 466.79620361328125, 466.36846923828125
1.5, 1.548200011253357, 470.4111022949219, 466.8229675292969, 466.39532470703125
1.75, 1.7949999570846558, 471.2803039550781, 467.71636962890625, 467.26666259765625
2.0, 2.048799991607666, 470.74249267578125, 467.2848815917969, 466.77783203125
2.25, 2.2985999584198, 470.6949462890625, 467.264892578125, 466.7389831542969
2.5, 2.5473999977111816, 470.66168212890625, 467.2508544921875, 466.7189025878906
2.75, 2.7992000579833984, 470.6860656738281, 467.263427734375, 466.7293701171875
3.0, 3.046999931335449, 470.6303405761719, 467.2161865234375, 466.6814880371094
3.25, 3.2981998920440674, 470.66778564453125, 467.2509460449219, 466.71600341796875
3.5, 3.548799991607666, 470.6338806152344, 467.2196350097656, 466.6844482421875
3.75, 3.797600030899048, 470.6598205566406, 467.2399597167969, 466.7048034667969
4.0, 4.04640007019043, 470.66156005859375, 467.2474365234375, 466.7122497558594
4.25, 4.295400142669678, 470.68426513671875, 467.26885986328125, 466.7336120605469
4.5, 4.5493998527526855, 470.6941833496094, 467.280517578125, 466.7453308105469
4.75, 4.795000076293945, 470.7149658203125, 467.2997741699219, 466.7644958496094
5.0, 5.04580020904541, 470.74078369140625, 467.3253479003906, 466.7901306152344
5.25, 5.296800136566162, 470.7051086425781, 467.2875671386719, 466.75238037109375
5.5, 5.547599792480469, 470.65380859375, 467.232666015625, 466.697509765625
5.75, 5.795400142669678, 470.6948547363281, 467.2769775390625, 466.7419128417969
6.0, 6.046999931335449, 470.67498779296875, 467.25726318359375, 466.72210693359375
6.25, 6.295000076293945, 470.7078857421875, 467.2900695800781, 466.7549743652344
6.5, 6.547800064086914, 470.73992919921875, 467.3216857910156, 466.78643798828125
6.75, 6.798999786376953, 470.6840515136719, 467.267578125, 466.7324523925781
7.0, 7.047399997711182, 470.7394104003906, 467.3236083984375, 466.7884216308594
7.25, 7.295400142669678, 470.7242736816406, 467.306396484375, 466.7712097167969
7.5, 7.547999858856201, 470.7060852050781, 467.2859802246094, 466.75079345703125
7.75, 7.797999858856201, 470.7215270996094, 467.3017883300781, 466.76654052734375
8.0, 8.04740047454834, 470.7104797363281, 467.2996520996094, 466.764404296875
8.25, 8.297200202941895, 470.72100830078125, 467.3040771484375, 466.768798828125
8.5, 8.546199798583984, 470.72607421875, 467.3088684082031, 466.7735900878906
8.75, 8.79580020904541, 470.73980712890625, 467.3224792480469, 466.7872619628906
9.0, 9.046600341796875, 470.7460021972656, 467.3259582519531, 466.79071044921875
9.25, 9.295000076293945, 470.7233581542969, 467.3063659667969, 466.7711486816406
9.5, 9.54640007019043, 470.72479248046875, 467.3037414550781, 466.7684631347656
9.75, 9.798199653625488, 470.7009582519531, 467.2871398925781, 466.75201416015625
10.0, 10.04699993133545, 470.714599609375, 467.2952880859375, 466.76019287109375
10.25, 10.295000076293945, 470.7121887207031, 467.2921142578125, 466.75701904296875
10.5, 10.547599792480469, 470.7454833984375, 467.3265380859375, 466.79132080078125
10.75, 10.795000076293945, 470.7892150878906, 467.3743591308594, 466.8392028808594
11.0, 11.04580020904541, 470.7137145996094, 467.30218505859375, 466.7670593261719
11.25, 11.29640007019043, 470.7366027832031, 467.32257080078125, 466.787353515625
11.5, 11.547200202941895, 470.6661682128906, 467.2576904296875, 466.7225341796875
11.75, 11.797599792480469, 470.78924560546875, 467.3717041015625, 466.83636474609375
12.0, 12.045999526977539, 470.7242126464844, 467.3093566894531, 466.7741394042969
12.25, 12.297800064086914, 470.7836608886719, 467.3702697753906, 466.8349304199219
12.5, 12.547200202941895, 470.7435607910156, 467.3330993652344, 466.7978210449219
12.75, 12.79520034790039, 470.7575988769531, 467.3395080566406, 466.8042297363281
13.0, 13.046799659729004, 470.74993896484375, 467.34014892578125, 466.80487060546875
13.25, 13.295599937438965, 470.75439453125, 467.3368835449219, 466.80157470703125
13.5, 13.547599792480469, 470.7518310546875, 467.3407287597656, 466.80548095703125
13.75, 13.801799774169922, 470.7225341796875, 467.3053894042969, 466.770263671875
14.0, 14.047800064086914, 470.77685546875, 467.3619079589844, 466.82672119140625
14.25, 14.295000076293945, 470.7703552246094, 467.35162353515625, 466.8164367675781
14.5, 14.54800033569336, 470.7519226074219, 467.3357849121094, 466.8006591796875
14.75, 14.795999526977539, 470.7604064941406, 467.3434143066406, 466.80828857421875
15.0, 15.049799919128418, 470.7449035644531, 467.3186340332031, 466.783447265625
15.25, 15.298600196838379, 470.7337951660156, 467.3212585449219, 466.7861022949219
15.5, 15.550999641418457, 470.77978515625, 467.36346435546875, 466.8282165527344
15.75, 15.797800064086914, 470.7431945800781, 467.3216247558594, 466.7864074707031
16.0, 16.049800872802734, 470.67913818359375, 467.25970458984375, 466.7245788574219
16.25, 16.297399520874023, 470.75408935546875, 467.3399963378906, 466.80474853515625
16.5, 16.545400619506836, 470.8079528808594, 467.3839111328125, 466.8484802246094
16.75, 16.797399520874023, 470.77386474609375, 467.35211181640625, 466.8168640136719
17.0, 17.046199798583984, 470.7591247558594, 467.3406066894531, 466.8052978515625
17.25, 17.29520034790039, 470.6730041503906, 467.2555847167969, 466.72039794921875
17.5, 17.547000885009766, 470.7477722167969, 467.3306579589844, 466.7954406738281
17.75, 17.79800033569336, 470.78076171875, 467.3607177734375, 466.8255310058594
18.0, 18.045400619506836, 470.7582702636719, 467.3421630859375, 466.8069152832031
18.25, 18.297199249267578, 470.7569580078125, 467.33966064453125, 466.80450439453125
18.5, 18.547199249267578, 470.8255920410156, 467.4063415527344, 466.8711242675781
18.75, 18.796600341796875, 470.7431335449219, 467.3267822265625, 466.7916259765625
19.0, 19.04640007019043, 470.7326965332031, 467.3155822753906, 466.7804260253906
19.25, 19.29560089111328, 470.7642517089844, 467.352294921875, 466.8170471191406
19.5, 19.54680061340332, 470.7642517089844, 467.35321044921875, 466.8179626464844
19.75, 19.79640007019043, 470.7916564941406, 467.3694763183594, 466.8341369628906
20.0, 20.047000885009766, 470.78155517578125, 467.3612365722656, 466.8258972167969
20.25, 20.29599952697754, 470.77978515625, 467.3572082519531, 466.82183837890625
20.5, 20.545799255371094, 470.7469482421875, 467.33050537109375, 466.7952575683594
20.75, 20.79560089111328, 470.76995849609375, 467.356689453125, 466.8213806152344
21.0, 21.04640007019043, 470.8132019042969, 467.39923095703125, 466.8639221191406
21.25, 21.298599243164062, 470.7575378417969, 467.3384094238281, 466.8031311035156
21.5, 21.54680061340332, 470.7471923828125, 467.3313903808594, 466.796142578125
21.75, 21.796600341796875, 470.6500549316406, 467.2313232421875, 466.6963195800781
22.0, 22.047399520874023, 470.78485107421875, 467.3556213378906, 466.82049560546875
22.25, 22.316600799560547, 470.75897216796875, 467.3385925292969, 466.8034362792969
22.5, 22.55299949645996, 470.7511291503906, 467.33868408203125, 466.8035583496094
22.75, 22.798599243164062, 470.7849426269531, 467.37176513671875, 466.8365173339844
23.0, 23.049800872802734, 470.8288269042969, 467.41046142578125, 466.8752746582031
23.25, 23.297800064086914, 470.7513732910156, 467.3332214355469, 466.7980651855469
23.5, 23.550399780273438, 470.7738037109375, 467.35736083984375, 466.8221130371094
23.75, 23.797399520874023, 470.79638671875, 467.37384033203125, 466.8385314941406
24.0, 24.04840087890625, 470.7733154296875, 467.3585510253906, 466.82318115234375
24.25, 24.295799255371094, 470.79425048828125, 467.3739318847656, 466.8386535644531
24.5, 24.547800064086914, 470.72796630859375, 467.3125, 466.7772216796875
24.75, 24.799400329589844, 470.76220703125, 467.3389892578125, 466.80364990234375
25.0, 25.048999786376953, 470.8204650878906, 467.4012756347656, 466.8658447265625
25.25, 25.297000885009766, 470.82342529296875, 467.4043273925781, 466.8689880371094
25.5, 25.54840087890625, 470.67779541015625, 467.2608337402344, 466.7256164550781
25.75, 25.795799255371094, 470.7724914550781, 467.352783203125, 466.817626953125
26.0, 26.051599502563477, 470.74029541015625, 467.3265686035156, 466.79132080078125
26.25, 26.29840087890625, 470.7439880371094, 467.3326721191406, 466.7987365722656
26.5, 26.557199478149414, 470.7707824707031, 467.3506164550781, 466.81549072265625
26.75, 26.79800033569336, 470.83123779296875, 467.4143371582031, 466.879150390625
27.0, 27.047000885009766, 470.7684020996094, 467.34906005859375, 466.81390380859375
27.25, 27.295799255371094, 470.7203674316406, 467.30877685546875, 466.7735900878906
27.5, 27.55340003967285, 470.72711181640625, 467.3047180175781, 466.7696228027344
27.75, 27.79520034790039, 470.7566223144531, 467.34051513671875, 466.80523681640625
28.0, 28.047399520874023, 470.7695007324219, 467.34814453125, 466.8128662109375
28.25, 28.29640007019043, 470.7400207519531, 467.3233947753906, 466.78814697265625
28.5, 28.54800033569336, 470.7156982421875, 467.2943115234375, 466.7590637207031
28.75, 28.796600341796875, 470.8004150390625, 467.38165283203125, 466.8463439941406
29.0, 29.04840087890625, 470.76873779296875, 467.35009765625, 466.81475830078125
29.25, 29.296199798583984, 470.77471923828125, 467.352783203125, 466.8175048828125
29.5, 29.546600341796875, 470.7790222167969, 467.3630065917969, 466.8277282714844
29.75, 29.796199798583984, 470.7806396484375, 467.3576354980469, 466.8223571777344
30.0, 30.047000885009766, 470.79962158203125, 467.38128662109375, 466.8460693359375
30.25, 30.295000076293945, 470.7922668457031, 467.36700439453125, 466.8317565917969
30.5, 30.54759979248047, 470.7306213378906, 467.3160705566406, 466.7809143066406
30.75, 30.794599533081055, 470.7903137207031, 467.3697814941406, 466.83453369140625
31.0, 31.045400619506836, 470.7655944824219, 467.3498840332031, 466.814697265625
31.25, 31.29640007019043, 470.75518798828125, 467.33349609375, 466.79705810546875
31.5, 31.547399520874023, 470.77215576171875, 467.3609313964844, 466.8256530761719
31.75, 31.796199798583984, 470.7659606933594, 467.3484191894531, 466.8131408691406
32.0, 32.046199798583984, 470.7374572753906, 467.32470703125, 466.7893371582031
32.25, 32.29679870605469, 470.7610778808594, 467.3496398925781, 466.8134765625
32.5, 32.54880142211914, 470.77752685546875, 467.3562316894531, 466.82281494140625
32.75, 32.797000885009766, 470.8221740722656, 467.4012756347656, 466.8652648925781
33.0, 33.05120086669922, 470.7721252441406, 467.3511962890625, 466.8149719238281
33.25, 33.29779815673828, 470.6636962890625, 467.24554443359375, 466.71307373046875
33.5, 33.55080032348633, 470.7828369140625, 467.36627197265625, 466.8305969238281
33.75, 33.79899978637695, 470.7755126953125, 467.3579406738281, 466.8204650878906
34.0, 34.0463981628418, 470.73553466796875, 467.3187561035156, 466.7861022949219
34.25, 34.2953987121582, 470.7593688964844, 467.35101318359375, 466.8149719238281
34.5, 34.546600341796875, 470.8412780761719, 467.4244689941406, 466.8883361816406
34.75, 34.79759979248047, 470.7406005859375, 467.30938720703125, 466.7768249511719
35.0, 35.047401428222656, 470.7672424316406, 467.3467712402344, 466.8114318847656
35.25, 35.308998107910156, 470.7750244140625, 467.3607482910156, 466.82440185546875
35.5, 35.54679870605469, 470.7636413574219, 467.341552734375, 466.8088684082031
35.75, 35.79499816894531, 470.72662353515625, 467.31396484375, 466.7773132324219
36.0, 36.04560089111328, 470.7427673339844, 467.3198547363281, 466.7834777832031
36.25, 36.295799255371094, 470.7494812011719, 467.3270263671875, 466.7938232421875
36.5, 36.54520034790039, 470.74761962890625, 467.3300476074219, 466.7945556640625
36.75, 36.797401428222656, 470.7609558105469, 467.3399658203125, 466.8036193847656
37.0, 37.04840087890625, 470.7541809082031, 467.3298034667969, 466.7970886230469
37.25, 37.29520034790039, 470.8215026855469, 467.3992004394531, 466.8638000488281
37.5, 37.54840087890625, 470.77838134765625, 467.3592224121094, 466.82275390625
37.75, 37.7947998046875, 470.65289306640625, 467.2337646484375, 466.7026672363281
38.0, 38.045799255371094, 470.8084716796875, 467.38824462890625, 466.8532409667969
38.25, 38.29560089111328, 470.7713928222656, 467.3514099121094, 466.8152160644531
38.5, 38.54600143432617, 470.76556396484375, 467.34539794921875, 466.8128662109375
38.75, 38.79499816894531, 470.7726135253906, 467.354248046875, 466.81890869140625
39.0, 39.046199798583984, 470.8956298828125, 467.4762268066406, 466.9398193359375
39.25, 39.29679870605469, 470.78314208984375, 467.3656921386719, 466.83306884765625
39.5, 39.55619812011719, 470.7856750488281, 467.36822509765625, 466.83306884765625
39.75, 39.797000885009766, 470.80621337890625, 467.38720703125, 466.8509521484375
40.0, 40.0463981628418, 470.7889404296875, 467.3690185546875, 466.8363037109375
40.25, 40.29800033569336, 470.8265686035156, 467.4097595214844, 466.87408447265625
40.5, 40.54719924926758, 470.7834167480469, 467.3645935058594, 466.8282165527344
40.75, 40.79520034790039, 470.7433166503906, 467.32366943359375, 466.7908935546875
41.0, 41.045799255371094, 470.7504577636719, 467.3339538574219, 466.798583984375
41.25, 41.2947998046875, 470.8179626464844, 467.4014892578125, 466.865234375
41.5, 41.54520034790039, 470.7096862792969, 467.29193115234375, 466.7591552734375
41.75, 41.799800872802734, 470.84661865234375, 467.4310302734375, 466.8958740234375
42.0, 42.04899978637695, 470.7327575683594, 467.3163146972656, 466.7801513671875
42.25, 42.29679870605469, 470.69598388671875, 467.27581787109375, 466.7433776855469
42.5, 42.5447998046875, 470.77520751953125, 467.358642578125, 466.82330322265625
42.75, 42.79679870605469, 470.7911376953125, 467.36907958984375, 466.83282470703125
43.0, 43.0453987121582, 470.70916748046875, 467.2882995605469, 466.7557678222656
43.25, 43.29499816894531, 470.7720642089844, 467.3630676269531, 466.8278503417969
43.5, 43.547000885009766, 470.77618408203125, 467.3614807128906, 466.8254089355469
43.75, 43.7963981628418, 470.78082275390625, 467.3652038574219, 466.8325500488281
44.0, 44.04499816894531, 470.76702880859375, 467.3614501953125, 466.82574462890625
44.25, 44.2947998046875, 470.7701110839844, 467.3565368652344, 466.8200988769531
44.5, 44.54899978637695, 470.7663879394531, 467.3449401855469, 466.812255859375
44.75, 44.797000885009766, 470.8589172363281, 467.4489440917969, 466.913330078125
45.0, 45.04779815673828, 470.7685546875, 467.3569030761719, 466.82037353515625
45.25, 45.2947998046875, 470.7425842285156, 467.3299560546875, 466.7972412109375
45.5, 45.54719924926758, 470.7933044433594, 467.3836364746094, 466.84844970703125
45.75, 45.79520034790039, 470.7510986328125, 467.3412780761719, 466.804931640625
46.0, 46.04600143432617, 470.7550964355469, 467.33538818359375, 466.8025817871094
46.25, 46.2963981628418, 470.7711486816406, 467.3620300292969, 466.8265075683594
