Time,measurement1.Three-phase Meter1.POWER_Q,measurement1.Three-phase Meter1.VLn_RMS,measurement2.Three-phase Meter2.POWER_Q,measurement2.Three-phase Meter2.VLn_RMS,measurement3.Three-phase Meter3.POWER_Q,measurement3.Three-phase Meter3.VLn_RMS,measurement4.Three-phase Meter4.POWER_P,measurement4.Three-phase Meter4.POWER_Q,measurement5.Three-phase Meter5.POWER_P,measurement5.Three-phase Meter5.POWER_Q,measurement6.Three-phase Meter6.POWER_P,measurement6.Three-phase Meter6.POWER_Q
0.018,-27.541077,179.57559,20.979307,162.47823,-3.2813363,292.61362,43.78741,-24.93129,36.81174,-22.831266,20.562906,5.909071
0.0185,-28.62494,179.57559,21.288637,162.47823,-3.7019808,292.61362,44.665863,-25.847403,37.33657,-23.738363,20.976103,6.635272
0.019,-29.338385,179.57559,21.497889,162.47823,-3.9723907,292.61362,45.245613,-26.454062,37.682793,-24.329132,21.238676,7.130992
0.0195,-30.388527,179.57559,21.81417,162.47823,-4.3599734,292.61362,46.105614,-27.354109,38.19884,-25.191244,21.616135,7.8975725
0.02,-31.072119,179.57559,22.028059,162.47823,-4.604762,292.61362,46.66803,-27.94317,38.541996,-25.748892,21.848877,8.414186
0.0205,-32.06262,179.57559,22.358255,162.47823,-4.9488726,292.61362,47.498253,-28.801395,39.058353,-26.555054,22.167894,9.194089
0.021,-32.696114,179.57559,22.588606,162.47823,-5.161358,292.61362,48.043617,-29.354494,39.407917,-27.073643,22.363874,9.71207
0.0215,-33.60052,179.57559,22.957651,162.47823,-5.4542966,292.61362,48.857693,-30.143805,39.945534,-27.823793,22.609392,10.505086
0.022,-34.172253,179.57559,23.224586,162.47823,-5.6336155,292.61362,49.402893,-30.644608,40.31644,-28.305285,22.73708,11.057234
0.0225,-34.985703,179.57559,23.663298,162.47823,-5.8806944,292.61362,50.238613,-31.35491,40.896908,-29.008238,22.884766,11.91269
0.023,-35.503387,179.57559,23.985172,336.96973,-6.0336337,292.61362,50.810856,-31.804504,41.302326,-29.467123,22.958052,12.505658
0.0235,-36.256046,179.57559,24.5134,336.96973,-6.2526627,292.61362,51.70535,-32.45151,41.939266,-30.148382,23.035997,13.43049
0.024,-36.75085,359.95572,24.89404,336.96973,-6.395162,292.61362,52.33037,-32.871635,42.381325,-30.604652,23.06996,14.07316
0.0245,-37.49847,359.95572,25.501871,336.96973,-6.611253,292.61362,53.312866,-33.50002,43.069557,-31.298124,23.098936,15.069974
0.025,-38.010418,359.95572,25.925455,336.96973,-6.760983,292.61362,53.9934,-33.929325,43.53968,-31.770676,23.113464,15.761028
0.0255,-38.809765,359.95572,26.577234,336.96973,-6.9989486,292.61362,55.04748,-34.595856,44.252136,-32.49965,23.138393,16.835173
0.026,-39.367355,359.95572,27.015343,336.96973,-7.1681986,292.61362,55.76509,-35.06323,44.72993,-32.999413,23.15858,17.55734
0.0265,-40.24219,359.95572,27.665308,336.96973,-7.4380164,292.61362,56.852528,-35.80239,45.43799,-33.766758,23.192688,18.649311
0.027,-40.848843,359.95572,28.088417,336.96973,-7.6270776,292.61362,57.572426,-36.320435,45.899853,-34.287144,23.221443,19.39121
0.0275,-41.783844,359.95572,28.70048,336.96973,-7.9196615,292.61362,58.63282,-37.12759,46.575912,-35.076305,23.265749,20.502466
0.028,-42.417,359.95572,29.092474,336.96973,-8.117966,292.61362,59.318672,-37.682625,47.012962,-35.602695,23.291752,21.235817
0.0285,-43.364113,359.95572,29.657715,336.96973,-8.414876,292.61362,60.310417,-38.525135,47.64867,-36.384766,23.326878,22.31443
0.029,-43.984303,359.95572,30.022995,336.96973,-8.609263,292.61362,60.947926,-39.08827,48.061966,-36.89859,23.339083,23.018997
0.0295,-44.886833,359.95572,30.561314,336.96973,-8.892233,292.61362,61.868713,-39.919193,48.671005,-37.653843,23.312952,24.063152
0.03,-45.46361,359.95572,30.92095,336.96973,-9.073271,292.61362,62.46473,-40.46007,49.073593,-38.145523,23.26452,24.749317
0.0305,-46.290627,359.95572,31.471004,336.96973,-9.332788,292.61362,63.3408,-41.238926,49.67918,-38.86504,23.161848,25.773947
0.031,-46.81801,359.95572,31.850277,336.96973,-9.498855,292.61362,63.92308,-41.73758,50.08658,-39.33661,23.06803,26.457695
0.0315,-47.5801,359.95572,32.44241,336.96973,-9.741022,292.61362,64.80205,-42.45816,50.706512,-40.037933,22.887386,27.49051
0.032,-48.075924,359.95572,32.851704,336.96973,-9.901932,292.61362,65.397606,-42.92846,51.12744,-40.50398,22.742298,28.184158
0.0325,-48.81611,359.95572,33.48464,336.96973,-10.148301,292.61362,66.31148,-43.627365,51.763733,-41.21095,22.493286,29.230951
0.033,-49.315308,359.95572,33.914318,336.96973,-10.319437,292.61362,66.933,-44.096977,52.189125,-41.690567,22.314999,29.947985
0.0335,-50.086624,359.95572,34.559765,336.96973,-10.591493,503.3252,67.88173,-44.818577,52.821136,-42.425617,22.039143,31.036575
0.034,-50.62087,359.95572,34.98394,336.96973,-10.78412,503.3252,68.514046,-45.315933,53.2321,-42.9264,21.853872,31.763552
0.0345,-51.452908,359.95572,35.598183,336.96973,-11.089141,503.3252,69.45051,-46.096825,53.824284,-43.69112,21.573069,32.85819
0.035,-52.024742,359.95572,35.98726,336.96973,-11.301248,503.3252,70.05862,-46.63755,54.19764,-44.204906,21.386456,33.587833
0.0355,-52.89749,359.95572,36.533756,336.96973,-11.625784,503.3252,70.93099,-47.468864,54.721886,-44.972458,21.10213,34.66124
0.036,-53.478737,359.95572,36.872303,336.96973,-11.841393,503.3252,71.48286,-48.030415,55.046402,-45.475414,20.910316,35.35801
0.0365,-54.331333,359.95572,37.345135,336.96973,-12.155431,503.3252,72.25554,-48.86503,55.497993,-46.202515,20.610664,36.366737
0.037,-54.874023,359.95572,37.641556,336.96973,-12.353883,503.3252,72.73479,-49.408566,55.780613,-46.665356,20.386442,37.01355
0.0375,-55.63663,359.95572,38.070442,336.96973,-12.629723,503.3252,73.40461,-50.1855,56.185333,-47.318645,19.995186,37.936913
0.038,-56.103706,359.95572,38.354664,336.96973,-12.797072,503.3252,73.82736,-50.668873,56.449482,-47.723736,19.704079,38.53253
0.0385,-56.738777,359.95572,38.79469,336.96973,-13.020941,503.3252,74.43975,-51.337807,56.849575,-48.290947,19.22564,39.40807
0.039,-57.120766,359.95572,39.10421,336.96973,-13.153616,503.3252,74.84733,-51.74401,57.125317,-48.643208,18.86759,39.9814
0.0395,-57.643066,359.95572,39.60317,336.96973,-13.333299,503.3252,75.47402,-52.298748,57.560993,-49.14268,18.276207,40.829094
0.04,-57.965683,359.95572,39.961308,336.96973,-13.444593,503.3252,75.91192,-52.638214,57.86879,-49.46424,17.845354,41.39233
0.0405,-60.15064,359.95572,38.787067,336.96973,-14.068325,503.3252,76.0136,-54.85736,57.966972,-50.925583,18.386238,41.646557
0.041,-60.76529,359.95572,38.726143,560.412,-14.314118,503.3252,76.29386,-55.139523,58.2921,-51.23347,18.03688,41.70805
0.0415,-61.90682,359.95572,38.724636,560.412,-14.874731,503.3252,76.63968,-55.783947,58.717007,-51.83133,17.804972,41.787212
0.042,-62.73036,571.6596,38.78178,560.412,-15.365128,503.3252,76.8069,-56.26443,58.92222,-52.28072,17.77891,41.804462
0.0425,-63.899487,571.6596,38.866474,560.412,-16.176323,503.3252,76.96878,-56.944435,59.073936,-52.951015,17.842545,41.765797
0.043,-64.565155,571.6596,38.86432,560.412,-16.6892,503.3252,77.015785,-57.327637,59.06976,-53.344604,17.92204,41.694035
0.0435,-65.338806,571.6596,38.729286,560.412,-17.309914,503.3252,76.98553,-57.75389,58.93725,-53.776585,18.061316,41.49838
0.044,-65.69831,571.6596,38.569355,560.412,-17.599281,503.3252,76.88953,-57.91255,58.79875,-53.92727,18.148952,41.302357
0.0445,-65.99429,571.6596,38.298298,560.412,-17.862068,503.3252,76.64248,-57.923817,58.57604,-53.92122,18.237923,40.90777
0.045,-66.01679,571.6596,38.142593,560.412,-17.945755,503.3252,76.42728,-57.758213,58.447685,-53.76096,18.250042,40.58673
0.0455,-65.77038,571.6596,38.00259,560.412,-17.957544,503.3252,76.09173,-57.243443,58.31996,-53.29655,18.17706,40.059803
0.046,-65.42428,571.6596,37.989437,560.412,-17.885998,503.3252,75.89588,-56.7284,58.291954,-52.84721,18.057028,39.70377
